LSOA_code,LSOA_name,Subjective_wellbeing_Likert_score,Subjective_wellbeing_Caseness_score,Physical_Component_Summary,Mental_Component_Summary,Household_net_income_monthly
E01004766,Bolton 005A,11.65707965,1.944690265,48.55539086,47.74969764,2915.863476
E01004767,Bolton 005B,11.28288169,1.799735625,50.01571051,48.1788037,3146.179942
E01004768,Bolton 001A,10.90055249,1.509865825,50.95024467,49.20335438,4002.201788
E01004769,Bolton 003A,10.73880597,1.500829187,50.93433665,49.02141791,3671.785635
E01004770,Bolton 003B,10.85175439,1.557017544,49.53353509,49.08418421,3443.665553
E01004771,Bolton 003C,10.72727273,1.451489687,49.80093201,49.33903743,3554.101832
E01004772,Bolton 005C,12.37003745,2.36329588,48.6970412,46.53134831,3015.78935
E01004773,Bolton 003D,11.20150862,1.78125,50.65158405,48.15158944,3305.250668
E01004774,Bolton 005D,12.00283688,2.191489362,48.58614894,46.95105674,3124.942069
E01004775,Bolton 014A,11.15575758,1.669090909,49.64061818,48.3624,3452.300217
E01004776,Bolton 031A,11.63636364,1.951790634,49.38227273,47.78335399,3282.952104
E01004777,Bolton 004A,11.82515337,2.071319018,48.76734663,47.45957822,2980.075077
E01004778,Bolton 009A,10.97977755,1.548028311,49.02408493,49.17398382,3272.831299
E01004779,Bolton 007A,11.77777778,1.966503268,49.84035948,47.17663399,3325.23159
E01004780,Bolton 009B,11.24555364,1.734939759,50.98672978,48.4432358,3500.125212
E01004781,Bolton 007B,11.11453202,1.697660099,50.64152709,48.37386084,3525.391865
E01004782,Bolton 009C,11.55995717,1.845824411,48.28810493,47.98142398,3022.70363
E01004783,Bolton 009D,10.95150502,1.513377926,49.42434783,49.33439799,3565.743629
E01004784,Bolton 006A,10.8996991,1.545636911,49.36935807,49.71092277,3729.570448
E01004785,Bolton 006B,11.57142857,1.883116883,48.55278409,48.21560065,3156.662957
E01004786,Bolton 006C,11.0354201,1.55107084,48.77420099,49.03140033,3215.805158
E01004787,Bolton 013A,13.33924255,2.871071716,47.30436745,44.33451249,2532.360133
E01004788,Bolton 002A,10.50134288,1.378692927,49.39491495,49.60519248,3809.869384
E01004789,Bolton 006D,10.80266445,1.481265612,49.92267277,49.68270608,3631.012365
E01004790,Bolton 002B,10.94717995,1.593554163,49.52563115,49.38246195,3356.721605
E01004791,Bolton 006E,10.81091618,1.515594542,48.99003899,49.60805068,3483.165611
E01004792,Bolton 006F,10.79211175,1.41906327,49.17528348,49.91566968,3619.408416
E01004793,Bolton 013B,12.79837518,2.646233383,46.49087149,45.37058346,2769.286124
E01004794,Bolton 013C,13.38250951,2.972623574,47.34030418,44.44997719,2873.828008
E01004795,Bolton 013D,12.22521808,2.267248216,47.46218081,46.87260111,2714.020527
E01004796,Bolton 019A,11.24703088,1.697545527,49.80071259,48.70436263,3207.211254
E01004797,Bolton 013E,12.34872762,2.37606032,49.30518379,46.15747408,3038.193432
E01004798,Bolton 019B,12.0848,2.1744,48.7802,46.494688,2805.126575
E01004799,Bolton 019C,11.00735294,1.569852941,48.93863051,49.49383272,3126.621583
E01004800,Bolton 019D,11.07707708,1.565565566,49.98266266,48.81486486,3624.498227
E01004801,Bolton 019E,12.90527183,2.718286656,46.81603789,45.15364909,2661.986098
E01004802,Bolton 010A,13.08800568,2.765081618,47.6746274,45.04567069,2639.124526
E01004803,Bolton 001B,10.98568019,1.550517104,50.80777247,49.143214,3663.226078
E01004804,Bolton 001C,10.8096013,1.546786005,50.22327095,49.087738,3698.01835
E01004805,Bolton 002C,10.7239819,1.454751131,50.1525641,49.14475113,3764.916717
E01004806,Bolton 002D,10.94839719,1.563721658,49.6039093,49.38752932,3627.297274
E01004807,Bolton 001D,10.98200514,1.532133676,51.46778063,48.71053985,3765.816891
E01004808,Bolton 001E,11.06376361,1.600311042,50.93811042,48.75811042,3606.514803
E01004809,Bolton 003E,11.45657895,1.9125,49.57197368,48.08267105,3061.921398
E01004810,Bolton 002E,10.92732778,1.600302801,50.84281605,48.83738077,3815.815577
E01004811,Bolton 022A,11.94801762,2.154185022,48.2146696,46.69455507,2923.342732
E01004812,Bolton 022B,11.78369272,2.105121294,49.40666442,46.82822776,3236.700353
E01004813,Bolton 022C,11.61384335,2.024590164,48.3886612,47.18563752,3033.89596
E01004814,Bolton 027A,11.89705882,2.128027682,48.98146194,46.76477509,3124.11373
E01004815,Bolton 022D,11.84055459,2.047660312,48.01925477,47.60813692,3165.580892
E01004816,Bolton 029A,11.53385214,1.929961089,48.71729961,47.47528405,3419.36226
E01004817,Bolton 022E,11.76124129,2.076630779,49.4950095,46.87363521,3020.074468
E01004818,Bolton 017A,11.74676259,2.071223022,48.4607482,46.88390647,2950.661156
E01004819,Bolton 017B,11.57651246,1.908362989,49.35452847,47.77134342,3073.877955
E01004820,Bolton 011A,12.23289902,2.413680782,47.1785342,46.88093648,2875.114905
E01004822,Bolton 016B,12.3099839,2.334138486,46.72380032,46.11884058,2937.603369
E01004823,Bolton 016C,12.67289073,2.600968188,46.06882434,45.32361687,2464.890366
E01004824,Bolton 005E,11.44660951,1.92517537,46.94654716,47.91388932,3321.666335
E01004825,Bolton 011B,11.85235435,2.026336792,46.92586592,46.65363128,2822.239089
E01004826,Bolton 011C,12.03072197,2.201228879,48.57662826,46.89271889,2989.732638
E01004827,Bolton 021A,12.14584892,2.286462229,48.34008227,46.23051608,2807.556887
E01004828,Bolton 023A,12.11283186,2.292035398,48.42474189,46.08485251,3033.642932
E01004829,Bolton 023B,11.85209302,2.081860465,47.39584186,47.57073488,3106.065111
E01004830,Bolton 026A,12.3616208,2.340214067,47.80291284,46.5437156,2726.050496
E01004831,Bolton 026B,11.20392749,1.740181269,49.86488671,48.39719033,3259.672025
E01004832,Bolton 023C,11.8612069,2.106034483,49.50986207,47.28637069,3070.828962
E01004833,Bolton 026C,11.015625,1.61484375,49.12119531,49.22842188,3386.948882
