groupname,categoryname,classname,count,workplace,measure_access
"Accommodation, Eating and Drinking",Accommodation,Timeshare,28,FALSE,FALSE
"Accommodation, Eating and Drinking",Accommodation,Hostels and Refuges For The Homeless,705,FALSE,TRUE
"Accommodation, Eating and Drinking",Accommodation,Youth Accommodation,1137,TRUE,TRUE
"Accommodation, Eating and Drinking",Accommodation,Self Catering,4580,FALSE,TRUE
"Accommodation, Eating and Drinking",Accommodation,Bed and Breakfast and Backpacker Accommodation,7396,TRUE,TRUE
"Accommodation, Eating and Drinking",Accommodation,"Hotels, Motels, Country Houses and Inns",9436,TRUE,TRUE
"Accommodation, Eating and Drinking",Accommodation,"Camping, Caravanning, Mobile Homes, Holiday Parks and Centres",9702,TRUE,TRUE
"Accommodation, Eating and Drinking",Eating and Drinking,Internet Cafes,331,TRUE,TRUE
"Accommodation, Eating and Drinking",Eating and Drinking,Fast Food Delivery Services,1603,TRUE,TRUE
"Accommodation, Eating and Drinking",Eating and Drinking,Banqueting and Function Rooms,2140,TRUE,TRUE
"Accommodation, Eating and Drinking",Eating and Drinking,Fish and Chip Shops,11441,TRUE,TRUE
"Accommodation, Eating and Drinking",Eating and Drinking,"Cafes, Snack Bars and Tea Rooms",38207,TRUE,TRUE
"Accommodation, Eating and Drinking",Eating and Drinking,Restaurants,43518,TRUE,TRUE
"Accommodation, Eating and Drinking",Eating and Drinking,"Pubs, Bars and Inns",43991,TRUE,TRUE
"Accommodation, Eating and Drinking",Eating and Drinking,Fast Food and Takeaway Outlets,56589,TRUE,TRUE
Attractions,Bodies Of Water,"Tarns, Pools and Meres",941,FALSE,FALSE
Attractions,Bodies Of Water,Lochs and Lochans,9800,FALSE,FALSE
Attractions,Bodies Of Water,Reservoirs,10436,FALSE,FALSE
Attractions,Bodies Of Water,Lakes and Waters,11016,FALSE,FALSE
Attractions,Botanical and Zoological,Butterfly Farms,7,TRUE,FALSE
Attractions,Botanical and Zoological,Aquaria and Sea Life Centres,40,TRUE,TRUE
Attractions,Botanical and Zoological,Farm Based Attractions,128,TRUE,TRUE
Attractions,Botanical and Zoological,Salmon Ladders,165,FALSE,FALSE
Attractions,Botanical and Zoological,Zoos and Animal Collections,445,TRUE,TRUE
Attractions,Botanical and Zoological,"Bird Reserves, Collections and Sanctuaries",506,FALSE,TRUE
Attractions,Botanical and Zoological,Horticultural Attractions,1771,TRUE,TRUE
Attractions,Historical and Cultural,Historical Ships,16,FALSE,FALSE
Attractions,Historical and Cultural,Battlefields,101,FALSE,FALSE
Attractions,Historical and Cultural,Museums,1390,TRUE,TRUE
Attractions,Historical and Cultural,Art Galleries,1821,TRUE,TRUE
Attractions,Historical and Cultural,"Historic Buildings Including Castles, Forts and Abbeys",9621,FALSE,TRUE
Attractions,Historical and Cultural,Archaeological Sites,30538,FALSE,TRUE
Attractions,Historical and Cultural,Historic and Ceremonial Structures,32719,FALSE,TRUE
Attractions,Landscape Features,Trigonometric Points,6108,FALSE,FALSE
Attractions,Landscape Features,Designated Scenic Features,19791,FALSE,TRUE
Attractions,Recreational,Municipal Parks and Gardens,26,FALSE,TRUE
Attractions,Recreational,Country and National Parks,695,FALSE,TRUE
Attractions,Recreational,Picnic Areas,802,FALSE,TRUE
Attractions,Recreational,Commons,5012,FALSE,TRUE
Attractions,Recreational,Playgrounds,42099,FALSE,TRUE
Attractions,Tourism,Model Villages,11,TRUE,FALSE
Attractions,Tourism,Theme and Adventure Parks,99,TRUE,TRUE
Attractions,Tourism,"Laseria, Observatories and Planetaria",223,TRUE,TRUE
Attractions,Tourism,"Railways (Heritage, Steam and Miniature)",558,TRUE,TRUE
Attractions,Tourism,Information Centres,762,TRUE,TRUE
Attractions,Tourism,"Siteseeing, Tours, Viewing and Visitor Centres",1057,TRUE,TRUE
Attractions,Tourism,Unspecified and Other Attractions,14370,TRUE,TRUE
Commercial Services,Construction Services,Diving Services,45,TRUE,FALSE
Commercial Services,Construction Services,Pool and Court Construction,365,TRUE,TRUE
Commercial Services,Construction Services,Construction Plant,393,TRUE,TRUE
Commercial Services,Construction Services,Demolition Services,414,TRUE,TRUE
Commercial Services,Construction Services,Building and Component Suppliers,695,TRUE,TRUE
Commercial Services,Construction Services,"Cutting, Drilling  and Welding Services",1141,TRUE,TRUE
Commercial Services,Construction Services,Metalworkers Including Blacksmiths,1706,TRUE,TRUE
Commercial Services,Construction Services,Restoration and Preservation Services,1869,TRUE,TRUE
