England and Wales Code,England and Wales,Tenure of household (5 categories) Code,Tenure of household (5 categories),Household size (5 categories) Code,Household size (5 categories),Household composition (15 categories) Code,Household composition (15 categories),National Statistics Socio-economic Classification (NS-SeC) (10 categories) Code,National Statistics Socio-economic Classification (NS-SeC) (10 categories),Observation
K04000001,England and Wales,-8,Does not apply,0,0 people in household,-8,Does not apply,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,-8,Does not apply,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,-8,Does not apply,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,-8,Does not apply,3,L7: Intermediate occupations,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,-8,Does not apply,4,L8 and L9: Small employers and own account workers,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,-8,Does not apply,5,L10 and L11: Lower supervisory and technical occupations,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,-8,Does not apply,6,L12: Semi-routine occupations,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,-8,Does not apply,7,L13: Routine occupations,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,-8,Does not apply,8,L14.1 and L14.2: Never worked and long-term unemployed,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,-8,Does not apply,9,L15: Full-time students,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,1,One-person household: Aged 66 years and over,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,1,One-person household: Aged 66 years and over,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,1,One-person household: Aged 66 years and over,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,1,One-person household: Aged 66 years and over,3,L7: Intermediate occupations,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,1,One-person household: Aged 66 years and over,4,L8 and L9: Small employers and own account workers,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,1,One-person household: Aged 66 years and over,5,L10 and L11: Lower supervisory and technical occupations,0
