SuperWEB2(tm)

"Household"
"Data Zone (2022) by Type of accomodation"
"Counting: Households"

Filters:
"Default Summation","Households"

"Type of accomodation","Whole house or bungalow: Detached","Whole house or bungalow: Semi-detached","Whole house or bungalow: Terraced (including end-terrace)","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building","Caravan or other mobile or temporary structure","Total",
"Data Zone (2022)",
"S01013482",133,68,37,213,32,7,1,491,
"S01013483",84,66,143,72,0,0,1,366,
"S01013484",33,25,26,204,10,0,0,292,
"S01013485",36,73,70,88,0,0,0,270,
"S01013486",47,112,26,114,5,0,0,297,
"S01013487",92,179,21,14,3,1,0,310,
"S01013488",168,29,16,1,1,0,38,255,
"S01013489",145,160,36,75,0,0,0,417,
"S01013490",276,75,3,16,3,0,0,376,
"S01013491",194,65,5,8,1,0,1,279,
"S01013492",117,50,21,7,1,0,0,196,
"S01013493",128,68,36,5,2,0,0,240,
"S01013494",68,67,76,83,1,0,0,293,
"S01013495",163,57,40,22,5,0,0,288,
"S01013496",126,119,15,3,8,0,0,268,
"S01013497",121,143,27,155,21,2,0,466,
"S01013498",161,58,16,147,5,1,0,385,
"S01013499",298,38,2,6,3,1,0,357,
"S01013500",259,18,10,4,1,0,0,292,
"S01013501",208,7,3,10,0,0,0,231,
"S01013502",227,60,59,71,5,1,0,420,
"S01013503",15,77,134,210,2,0,0,435,
"S01013504",40,149,106,43,1,0,0,340,
"S01013505",18,145,152,166,7,0,0,487,
"S01013506",9,86,35,368,16,1,0,516,
"S01013507",3,117,48,175,6,0,0,348,
"S01013508",15,73,82,236,10,0,0,416,
"S01013509",43,138,43,76,13,0,0,310,
"S01013510",52,100,95,56,20,1,0,324,
"S01013511",43,116,92,128,33,0,0,412,
"S01013512",28,72,65,380,41,5,0,588,
"S01013513",13,31,58,297,51,2,0,454,
"S01013514",76,214,27,29,2,0,0,349,
"S01013515",56,166,17,3,0,0,0,242,
"S01013516",19,214,43,55,10,0,0,343,
"S01013517",40,266,18,107,3,0,0,429,
"S01013518",46,257,47,71,6,2,0,428,
"S01013519",109,240,13,155,0,0,0,517,
"S01013520",17,327,12,4,0,0,0,360,
"S01013521",98,109,54,228,17,7,0,516,
"S01013522",74,159,67,256,6,1,0,567,
"S01013523",52,187,1,23,0,0,0,264,
"S01013524",112,35,69,204,6,1,1,430,
"S01013525",149,91,91,67,1,0,0,403,
"S01013526",165,77,30,30,0,0,0,304,
"S01013527",24,277,2,6,2,0,0,310,
"S01013528",168,142,7,72,6,1,0,399,
"S01013529",147,220,11,7,3,0,0,386,
"S01013530",31,37,65,138,8,0,0,281,
"S01013531",101,167,70,124,0,0,0,458,
"S01013532",150,87,90,70,1,0,0,398,
"S01013533",67,81,54,179,1,2,0,380,
"S01013534",2,24,39,166,0,0,0,232,
"S01013535",15,94,128,149,2,2,0,391,
"S01013536",21,84,126,162,0,2,0,394,
"S01013537",9,11,77,211,41,0,0,349,
"S01013538",16,61,44,101,35,1,0,255,
"S01013539",29,113,90,173,52,0,2,458,
"S01013540",44,121,81,64,20,0,0,333,
"S01013541",124,107,59,126,5,0,0,423,
"S01013542",26,107,85,172,22,1,0,413,
"S01013543",8,10,15,604,9,3,0,649,
"S01013544",4,10,13,534,19,17,0,597,
"S01013545",6,39,60,313,42,1,0,461,
"S01013546",7,7,10,423,29,5,0,481,
"S01013547",3,22,8,541,25,6,0,603,
"S01013548",2,18,51,189,26,2,0,289,
"S01013549",32,92,31,166,39,1,0,361,
"S01013550",13,54,150,220,70,10,0,521,
"S01013551",215,54,15,56,33,4,0,377,
"S01013552",20,94,75,75,35,1,0,292,
"S01013553",83,92,60,133,62,1,0,431,
"S01013554",23,119,92,138,34,3,1,408,
"S01013555",14,131,36,119,25,2,0,322,
"S01013556",10,41,64,281,30,2,0,429,
"S01013557",2,12,49,548,24,0,0,636,
"S01013558",6,12,9,498,16,4,0,550,
"S01013559",5,16,61,290,32,1,0,405,
"S01013560",67,143,55,101,24,0,0,390,
"S01013561",3,9,28,432,36,11,0,519,
"S01013562",0,1,0,397,3,1,0,405,
"S01013563",4,8,20,329,30,7,0,398,
"S01013564",2,8,15,453,17,10,0,507,
"S01013565",2,10,8,460,23,29,0,532,
"S01013566",4,6,6,339,24,11,0,390,
"S01013567",7,2,7,349,11,28,0,405,
"S01013568",3,10,1,338,4,6,0,360,
"S01013569",10,10,14,316,42,7,0,399,
