SuperWEB2(tm)

"Household"
"Intermediate Zone (2022) by Type of accomodation and Household tenure - 3 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Type of accomodation","Whole house or bungalow: Detached",,,"Whole house or bungalow: Semi-detached",,,"Whole house or bungalow: Terraced (including end-terrace)",,,"Flat, maisonette or apartment: Purpose-built block of flats or tenement",,,"Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)",,,"Flat, maisonette or apartment: In a commercial building",,,"Caravan or other mobile or temporary structure",,,"Total",,,
"Household tenure - 3 groups, collapsed","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free",
"Intermediate Zone (2022)",
"Culter",552,12,32,430,78,41,228,93,12,427,120,163,30,3,10,5,0,3,38,0,2,1713,305,263,
"Cults, Bieldside and Milltimber West",873,4,47,429,22,35,130,38,12,90,87,14,3,5,2,0,0,0,1,0,0,1532,155,112,
"Cults, Bieldside and Milltimber East",530,1,41,325,10,40,74,6,18,207,33,87,29,0,6,2,0,1,0,0,0,1162,50,192,
"Cults, Bieldside and Milltimber Central",926,3,70,107,7,7,59,14,4,61,6,21,5,1,3,2,0,0,0,0,0,1156,33,106,
"Garthdee",59,28,19,363,194,87,324,171,62,323,478,396,5,9,27,0,0,2,0,0,0,1074,880,595,
"Braeside, Mannofield, Broomhill and Seafield East",164,2,13,419,0,41,319,2,32,470,41,422,107,5,47,3,0,2,0,0,0,1482,49,560,
"Braeside, Mannofield, Broomhill and Seafield South",217,0,18,1066,3,47,139,2,11,112,70,83,15,1,2,0,0,2,0,0,0,1546,78,163,
"Braeside, Mannofield, Broomhill and Seafield North",323,1,29,957,4,64,118,14,17,353,40,273,9,0,14,0,3,5,0,0,0,1760,63,400,
"Hazlehead",821,10,67,952,23,74,253,56,35,191,321,132,6,11,11,1,1,3,1,0,0,2225,421,319,
"Summerhill",213,22,22,235,93,38,291,125,21,198,392,135,0,2,3,0,5,0,0,0,0,937,639,218,
"Midstocket",222,5,21,465,14,41,372,29,38,436,135,276,114,5,56,3,0,0,2,0,0,1613,188,434,
"Rosemount",45,3,13,162,6,28,143,19,29,894,518,1355,87,23,79,5,0,27,0,0,0,1337,571,1534,
"West End North",304,0,23,257,6,32,281,1,21,226,13,249,129,0,67,5,0,9,0,0,0,1201,19,401,
"West End South",113,0,13,418,1,56,303,4,59,857,62,1056,115,7,59,5,1,8,1,0,0,1812,76,1251,
"City Centre West",10,0,2,27,1,7,48,2,23,590,282,1196,39,0,70,19,0,38,0,0,0,734,293,1338,
"City Centre East",15,0,9,16,0,7,19,0,12,300,241,797,38,6,34,25,11,23,0,0,0,413,261,884,
"Ferryhill North",34,0,9,141,1,10,186,3,28,872,163,1135,84,3,63,3,0,8,0,0,0,1320,175,1257,
"Ferryhill South",132,2,10,477,8,46,257,0,32,525,307,453,84,6,32,1,0,1,0,0,1,1476,325,575,
"Kincorth, Leggart and Nigg North",75,17,3,354,77,28,349,89,28,305,304,66,1,4,3,0,5,1,1,0,0,1091,495,133,
"Kincorth, Leggart and Nigg South",436,18,26,380,88,26,759,142,57,243,211,86,12,1,5,7,1,0,0,0,0,1833,461,200,
"Cove South",609,1,22,532,17,23,168,19,21,127,6,51,5,0,2,1,0,2,0,0,0,1441,39,122,
"Cove North",149,6,10,427,60,32,598,81,46,288,263,90,15,1,2,2,0,0,0,0,0,1479,412,181,
"Torry West",26,3,5,209,50,24,67,21,17,586,780,559,36,21,20,5,0,5,0,0,2,929,873,629,
"Torry East",31,36,4,87,128,10,133,122,19,304,980,147,25,26,9,2,0,1,0,1,0,579,1288,190,
"Hanover South",15,4,2,19,19,10,71,8,27,391,523,807,23,8,17,4,1,6,0,0,0,523,559,870,
"Hanover North",14,1,5,17,0,2,28,1,21,581,293,1098,12,9,23,0,0,3,0,0,0,648,301,1153,
"George Street",16,5,9,35,8,21,28,14,31,656,1012,1336,39,10,54,10,10,30,0,0,0,785,1056,1477,
"Ashgrove",29,7,13,76,6,17,158,18,22,564,430,604,50,5,48,0,0,3,0,0,1,877,464,710,
"Froghall, Powis and Sunnybank",35,1,28,122,18,74,136,12,71,426,543,941,77,8,144,1,0,5,0,2,1,801,581,1264,
"Seaton",18,4,21,29,12,24,19,15,14,468,1136,607,5,10,36,2,4,5,0,0,0,537,1181,707,
"Old Aberdeen",52,6,15,37,4,27,17,17,10,218,654,246,10,3,19,0,1,6,0,0,0,333,686,320,
"Tillydrone",44,20,2,213,57,44,224,125,37,248,1418,209,8,8,10,0,7,0,0,0,0,737,1641,302,
"Woodside",39,5,12,93,17,19,71,27,3,368,995,224,17,8,20,3,2,5,0,0,0,588,1054,284,
"Hilton",150,3,26,385,18,65,221,28,24,1024,573,567,76,6,54,2,1,0,0,0,1,1857,629,733,
"Stockethill",107,16,10,251,45,34,418,114,60,304,991,236,5,5,1,0,3,0,0,0,0,1085,1170,340,
"Mastrick",15,16,6,260,122,22,663,289,61,142,439,44,3,3,0,1,0,0,0,0,0,1090,873,130,
"Sheddocksley",32,33,5,338,249,45,789,356,56,66,331,45,3,12,3,0,1,0,0,2,0,1225,984,154,
"Cummings Park",21,25,3,345,230,25,321,204,26,56,149,17,5,1,0,0,3,1,0,0,0,747,611,72,
"Northfield",29,23,7,440,268,27,670,320,31,29,235,19,10,7,3,2,1,0,0,0,0,1181,854,84,
"Heathryfold and Middlefield",21,23,4,183,233,20,337,146,34,137,805,70,5,8,7,1,0,1,0,0,0,681,1211,132,
"Kingswells",763,1,44,330,18,26,67,6,7,6,8,12,1,0,1,0,0,0,0,0,0,1167,33,90,
"Kingswells North and Newhills",541,7,40,251,37,43,180,40,33,80,81,74,0,0,4,1,0,2,0,0,1,1053,163,193,
"Bucksburn South",140,12,14,324,63,33,670,176,80,324,240,422,26,6,11,0,0,1,3,0,19,1488,499,578,
"Bucksburn North",373,16,23,774,117,59,339,102,25,331,430,180,38,6,28,4,1,6,0,2,0,1862,673,323,
"Dyce",417,8,40,739,126,55,342,63,19,239,195,98,7,8,5,0,0,1,0,0,1,1744,392,220,
"Danestone",456,0,22,622,0,39,195,2,22,240,12,128,10,0,4,0,0,1,2,0,0,1524,16,220,
"Oldmachar West",559,4,37,822,25,80,387,40,40,125,49,44,10,0,5,0,0,0,2,0,0,1905,115,207,
"Oldmachar East",632,3,27,940,40,45,144,17,21,64,2,15,5,0,0,0,0,0,0,0,0,1783,68,107,
"Balgownie and Donmouth West",193,9,8,596,102,43,267,87,21,203,170,70,14,3,4,0,0,1,0,2,0,1273,373,147,
"Balgownie and Donmouth East",188,2,10,573,19,37,115,11,17,115,35,72,7,0,5,2,0,0,0,0,0,995,65,141,
"Denmore",549,4,16,545,27,30,247,20,20,118,50,48,5,9,0,0,0,2,0,0,7,1464,112,124,
"East Cairngorms",696,7,251,214,126,98,41,47,26,21,40,21,8,4,13,7,0,10,3,0,1,990,227,420,
"Aboyne and South Deeside",1262,12,182,320,132,62,37,39,10,26,43,18,10,10,12,2,2,7,10,0,1,1665,241,293,
"Mearns and Laurencekirk",678,9,57,254,112,35,109,46,21,26,71,15,7,5,3,8,0,2,0,0,0,1078,243,131,
"Mearns South and Benholm",1042,12,145,341,168,111,180,66,33,12,40,8,4,0,5,5,0,1,4,0,0,1592,286,301,
"Mearns North and Inverbervie",1185,9,126,424,178,82,206,67,15,65,103,26,27,1,7,6,0,3,1,0,0,1914,360,257,
"Fetteresso, Netherley and Catter",1049,4,164,297,42,37,186,10,14,20,16,26,2,0,3,1,0,1,10,0,0,1562,68,248,
"Stonehaven South",621,11,24,442,164,59,393,118,54,192,257,109,32,3,13,2,3,2,0,0,0,1682,559,256,
"Stonehaven North",959,13,50,598,106,49,225,29,22,174,200,120,37,4,19,19,0,12,0,0,0,2006,349,270,
"Newtonhill",601,4,29,417,34,17,135,55,7,1,21,1,4,0,1,0,0,1,0,0,0,1152,114,57,
"Portlethen",637,5,23,816,25,52,86,4,9,101,4,39,1,2,1,0,0,2,2,0,0,1642,42,130,
"Banchory-Devenick and Findon",975,10,80,432,111,41,304,71,21,20,57,12,2,0,2,0,1,0,32,0,11,1768,250,171,
"Dunecht, Durris and Drumoak",1313,6,272,237,86,88,55,35,9,1,9,6,5,1,7,0,0,2,2,0,2,1613,136,386,
"Banchory East",902,13,35,334,103,51,131,97,22,60,91,37,2,4,5,0,0,2,0,0,0,1427,316,150,
"Banchory West",790,6,39,212,77,35,53,32,12,92,17,53,21,3,8,4,0,11,0,0,4,1176,135,160,
"Crathes and Torphins",922,4,220,157,77,55,62,19,16,41,2,21,6,2,9,4,0,1,0,0,0,1192,103,318,
