SuperWEB2(tm)

"Household"
"Intermediate Zone (2022) by Household composition - 4 groups, collapsed and Type of accomodation"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household composition - 4 groups, collapsed","One person household",,,,,,,"One family household: Couple family",,,,,,,"One family household: Lone parent",,,,,,,"Other household types",,,,,,,"Total",,,,,,,
"Type of accomodation","Whole house or bungalow: Detached","Whole house or bungalow: Semi-detached","Whole house or bungalow: Terraced (including end-terrace)","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building","Caravan or other mobile or temporary structure","Whole house or bungalow: Detached","Whole house or bungalow: Semi-detached","Whole house or bungalow: Terraced (including end-terrace)","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building","Caravan or other mobile or temporary structure","Whole house or bungalow: Detached","Whole house or bungalow: Semi-detached","Whole house or bungalow: Terraced (including end-terrace)","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building","Caravan or other mobile or temporary structure","Whole house or bungalow: Detached","Whole house or bungalow: Semi-detached","Whole house or bungalow: Terraced (including end-terrace)","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building","Caravan or other mobile or temporary structure","Whole house or bungalow: Detached","Whole house or bungalow: Semi-detached","Whole house or bungalow: Terraced (including end-terrace)","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building","Caravan or other mobile or temporary structure",
"Intermediate Zone (2022)",
"Culter",117,152,129,420,30,3,11,445,331,162,193,13,4,29,22,47,42,76,4,1,0,12,17,3,17,0,0,0,596,545,336,706,46,8,40,
"Cults, Bieldside and Milltimber West",100,112,40,69,0,0,0,773,329,106,63,6,0,1,38,40,31,53,0,0,0,17,10,1,5,1,0,0,928,485,180,191,10,0,1,
"Cults, Bieldside and Milltimber East",118,86,27,216,16,2,0,422,254,62,85,18,1,0,18,25,7,15,0,0,0,13,8,2,7,0,0,0,571,373,98,327,35,3,0,
"Cults, Bieldside and Milltimber Central",146,31,35,53,4,0,0,793,78,34,30,4,3,0,37,17,4,4,0,0,0,23,0,0,1,0,0,0,1001,123,73,88,8,3,0,
"Garthdee",19,232,211,667,19,0,0,65,283,242,312,11,0,0,10,93,73,110,2,0,0,3,39,31,114,9,1,0,100,647,557,1198,41,2,0,
"Braeside, Mannofield, Broomhill and Seafield East",38,142,99,637,84,3,0,132,277,232,247,58,2,0,4,34,13,19,11,0,0,5,7,4,30,5,0,0,179,460,353,933,158,5,0,
"Braeside, Mannofield, Broomhill and Seafield South",55,348,56,185,7,0,0,167,712,89,61,11,0,0,10,53,3,9,2,0,0,4,10,3,8,0,1,0,236,1116,152,266,20,2,0,
"Braeside, Mannofield, Broomhill and Seafield North",80,329,49,442,12,3,0,258,629,84,176,10,6,0,11,48,11,27,1,0,0,5,24,2,22,0,1,0,354,1029,143,666,24,11,0,
"Hazlehead",191,313,175,392,17,2,1,655,672,132,148,4,1,0,32,43,39,82,3,2,0,18,21,3,18,1,0,0,896,1049,345,644,25,8,1,
"Summerhill",82,146,167,416,3,2,0,150,190,209,205,1,0,0,21,26,45,76,0,3,0,7,8,16,29,0,0,0,257,366,437,725,4,5,0,
