SuperWEB2(tm)

"Household"
"Data Zone (2022) by Number of cars or vans and Type of accomodation - 3 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Number of cars or vans","Number of cars or vans in household: No cars or vans",,,"Number of cars or vans in household: One car or van",,,"Number of cars or vans in household: Two cars or vans",,,"Number of cars or vans in household: Three cars or vans",,,"Number of cars or vans in household: Four or more cars or vans",,,
"Type of accomodation - 3 groups, collapsed","Whole house or bungalow","Flat, maisonette or apartment","Caravan or other mobile or temporary structure","Whole house or bungalow","Flat, maisonette or apartment","Caravan or other mobile or temporary structure","Whole house or bungalow","Flat, maisonette or apartment","Caravan or other mobile or temporary structure","Whole house or bungalow","Flat, maisonette or apartment","Caravan or other mobile or temporary structure","Whole house or bungalow","Flat, maisonette or apartment","Caravan or other mobile or temporary structure",
"Data Zone (2022)",
"S01013482",24,55,0,85,159,0,96,33,1,19,5,0,12,2,0,
"S01013483",55,24,0,127,37,1,81,12,0,27,1,0,3,1,0,
"S01013484",7,36,0,29,137,0,34,34,0,9,0,0,2,0,0,
"S01013485",31,23,0,80,55,0,54,13,0,10,0,0,5,0,0,
"S01013486",31,40,0,70,61,0,62,17,0,13,0,0,6,0,0,
"S01013487",34,7,0,130,9,0,93,2,0,25,0,0,8,0,0,
"S01013488",10,2,2,74,0,25,85,1,9,27,0,0,17,0,0,
"S01013489",3,20,0,130,48,0,176,7,0,22,0,0,11,0,0,
"S01013490",16,5,0,100,12,0,174,3,0,49,0,0,17,0,0,
"S01013491",10,2,0,82,5,1,134,4,0,34,0,0,7,0,0,
"S01013492",10,1,0,65,3,0,77,6,0,26,0,0,6,0,0,
"S01013493",7,3,0,86,3,0,120,3,0,14,0,0,9,0,0,
"S01013494",15,27,0,90,46,0,97,12,0,7,0,0,1,0,0,
"S01013495",10,3,0,79,17,0,118,7,0,37,2,0,16,0,0,
"S01013496",12,0,0,99,5,0,122,3,0,21,2,0,6,0,0,
"S01013497",23,51,0,108,96,0,125,28,0,28,0,0,8,0,0,
"S01013498",11,65,0,93,69,0,97,16,0,22,0,0,8,0,0,
"S01013499",9,1,0,91,7,0,181,2,0,39,0,0,24,0,0,
"S01013500",12,1,0,89,0,0,144,2,0,31,0,0,11,0,0,
"S01013501",3,1,0,53,5,0,128,2,0,25,0,0,8,0,0,
"S01013502",20,38,0,158,34,0,131,2,0,26,0,0,8,0,0,
"S01013503",63,113,0,110,83,0,45,20,0,4,0,0,0,0,0,
"S01013504",61,24,0,154,15,0,72,6,0,9,0,0,0,0,0,
"S01013505",105,64,0,148,82,0,53,16,0,8,8,0,2,0,0,
"S01013506",30,174,0,62,176,0,28,27,0,9,4,0,1,1,0,
"S01013507",38,105,0,95,64,0,32,9,0,5,2,0,1,1,0,
"S01013508",55,102,0,86,112,0,22,28,0,8,4,0,0,3,0,
"S01013509",22,45,0,116,36,0,76,5,0,8,0,0,6,0,0,
"S01013510",18,13,0,112,39,0,100,22,0,9,1,0,3,2,0,
"S01013511",20,29,0,119,99,0,88,31,0,21,1,0,3,1,0,
"S01013512",25,154,0,82,221,0,54,41,0,5,3,0,0,0,0,
"S01013513",21,143,0,48,179,0,29,23,0,4,3,0,0,0,0,
"S01013514",29,8,0,152,22,0,110,6,0,22,0,0,4,0,0,
"S01013515",14,4,0,116,2,0,91,0,0,15,0,0,3,0,0,
"S01013516",18,18,0,133,40,0,105,11,0,18,0,0,4,0,0,
"S01013517",29,30,0,164,66,0,115,12,0,10,1,0,3,0,0,
"S01013518",36,58,0,192,17,0,107,1,0,15,1,0,0,0,0,
"S01013519",35,38,0,165,104,0,131,10,0,23,3,0,7,0,0,
"S01013520",30,2,0,176,2,0,125,0,0,24,0,0,5,0,0,
"S01013521",12,41,0,125,173,0,91,39,0,23,0,0,10,1,0,
"S01013522",34,100,0,154,133,0,92,25,0,22,2,0,4,0,0,
"S01013523",12,7,0,106,13,0,101,3,0,11,0,0,8,0,0,
"S01013524",36,95,1,107,103,0,64,16,0,7,0,0,3,0,0,
"S01013525",32,28,0,181,36,0,111,2,0,17,0,0,1,0,0,
"S01013526",11,4,0,82,21,0,147,6,0,24,0,0,8,0,0,
"S01013527",22,3,0,147,2,0,115,2,0,18,0,0,1,0,0,
"S01013528",28,13,0,125,43,0,129,18,0,28,0,0,7,1,0,
"S01013529",26,2,0,155,5,0,157,2,0,31,0,0,8,0,0,
"S01013530",34,77,0,58,60,0,32,7,0,3,0,0,2,1,0,
"S01013531",50,23,0,159,76,0,112,20,0,16,1,0,4,0,0,
"S01013532",54,40,0,153,27,0,103,3,0,15,0,0,2,1,0,
"S01013533",33,58,0,98,92,0,56,26,0,9,0,0,3,0,0,
"S01013534",15,69,0,25,84,0,20,12,0,4,3,0,0,0,0,
"S01013535",53,79,0,127,68,0,44,4,0,12,2,0,2,0,0,
"S01013536",58,76,0,119,68,0,47,13,0,6,3,0,1,0,0,
"S01013537",16,116,0,47,114,0,27,21,0,4,1,0,3,0,0,
"S01013538",9,39,0,57,76,0,45,19,0,7,2,0,3,2,0,
"S01013539",20,75,2,112,116,0,79,35,0,19,2,0,4,1,0,
"S01013540",23,9,0,130,53,0,85,19,0,9,0,0,2,1,0,
"S01013541",38,42,0,116,72,0,111,17,0,23,2,0,0,0,0,
"S01013542",32,70,0,105,105,0,71,23,0,6,1,0,3,0,0,
"S01013543",13,384,0,9,209,0,9,20,0,1,2,0,0,1,0,
"S01013544",10,363,0,12,183,0,4,22,0,1,0,0,0,0,0,
"S01013545",22,145,0,55,185,0,27,25,0,8,0,0,0,0,0,
"S01013546",12,297,0,8,139,0,5,21,0,0,0,0,0,0,0,
"S01013547",4,286,0,19,244,0,9,36,0,2,4,0,0,1,0,
"S01013548",10,98,0,38,107,0,19,10,0,6,2,0,0,0,0,
"S01013549",20,49,0,77,124,0,41,32,0,13,1,0,5,0,0,
"S01013550",32,98,0,112,163,0,66,38,0,6,4,0,0,0,0,
"S01013551",16,13,0,105,68,0,125,10,0,28,1,0,12,2,0,
"S01013552",5,12,0,65,79,0,90,13,0,16,1,0,4,0,0,
"S01013553",13,30,0,75,111,0,100,53,0,26,1,0,23,1,0,
"S01013554",24,53,0,93,98,1,101,22,0,11,1,0,6,1,0,
"S01013555",23,53,0,82,69,0,68,16,0,6,2,0,2,1,0,
"S01013556",10,107,0,52,177,0,41,25,0,10,5,0,0,1,0,
"S01013557",10,264,0,38,268,0,18,40,0,1,0,0,0,0,0,
"S01013558",4,248,0,15,243,0,6,29,0,1,0,0,0,0,0,
"S01013559",9,126,0,51,169,0,19,23,0,5,3,0,2,1,0,
"S01013560",16,22,0,107,82,0,110,18,0,21,1,0,11,2,0,
"S01013561",11,234,0,17,213,0,10,31,0,2,1,0,0,0,0,
"S01013562",1,173,0,0,193,0,2,32,0,0,1,0,0,0,0,
"S01013563",7,150,0,13,191,0,10,23,0,2,3,0,0,0,0,
"S01013564",15,281,0,6,177,0,3,22,0,1,0,0,1,0,0,
"S01013565",4,340,0,11,162,0,2,9,0,2,0,0,1,0,0,
"S01013566",2,254,0,9,101,0,2,17,0,1,2,0,0,0,0,
"S01013567",5,275,0,3,100,0,6,11,0,0,3,0,1,0,0,
"S01013568",4,210,0,9,124,0,0,12,0,0,0,0,0,0,0,
"S01013569",6,184,0,19,161,0,5,17,0,3,2,0,1,0,0,
