SuperWEB2(tm)

"Household"
"Data Zone (2022) by Number of cars or vans - 3 groups, collapsed and Number of cars or vans"
"Counting: Households"

Filters:
"Default Summation","Households"

"Number of cars or vans - 3 groups, collapsed","Number of cars or vans in household: No cars or vans",,,,,"Number of cars or vans in household: One car or van",,,,,"Number of cars or vans in household: Two or more cars or vans",,,,,"Total",,,,,
"Number of cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans",
"Data Zone (2022)",
"S01013482",79,0,0,0,0,0,246,0,0,0,0,0,130,22,14,79,246,130,22,14,
"S01013483",79,0,0,0,0,0,165,0,0,0,0,0,90,28,4,79,165,90,28,4,
"S01013484",43,0,0,0,0,0,166,0,0,0,0,0,68,11,4,43,166,68,11,4,
"S01013485",54,0,0,0,0,0,132,0,0,0,0,0,65,10,5,54,132,65,10,5,
"S01013486",70,0,0,0,0,0,125,0,0,0,0,0,79,13,6,70,125,79,13,6,
"S01013487",41,0,0,0,0,0,139,0,0,0,0,0,97,25,8,41,139,97,25,8,
"S01013488",14,0,0,0,0,0,100,0,0,0,0,0,97,27,17,14,100,97,27,17,
"S01013489",23,0,0,0,0,0,177,0,0,0,0,0,183,23,11,23,177,183,23,11,
"S01013490",22,0,0,0,0,0,112,0,0,0,0,0,176,49,17,22,112,176,49,17,
"S01013491",12,0,0,0,0,0,88,0,0,0,0,0,136,34,7,12,88,136,34,7,
"S01013492",10,0,0,0,0,0,72,0,0,0,0,0,81,26,6,10,72,81,26,6,
"S01013493",7,0,0,0,0,0,89,0,0,0,0,0,123,14,9,7,89,123,14,9,
"S01013494",39,0,0,0,0,0,136,0,0,0,0,0,107,7,1,39,136,107,7,1,
"S01013495",13,0,0,0,0,0,96,0,0,0,0,0,128,38,16,13,96,128,38,16,
"S01013496",12,0,0,0,0,0,103,0,0,0,0,0,125,21,6,12,103,125,21,6,
