SuperWEB2(tm)

"Household"
"Intermediate Zone (2022) by Number of cars or vans and Number of cars or vans - 3 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Number of cars or vans","Number of cars or vans in household: No cars or vans",,,"Number of cars or vans in household: One car or van",,,"Number of cars or vans in household: Two cars or vans",,,"Number of cars or vans in household: Three cars or vans",,,"Number of cars or vans in household: Four or more cars or vans",,,"Total",,,
"Number of cars or vans - 3 groups, collapsed","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans",
"Intermediate Zone (2022)",
"Culter",381,0,0,0,1076,0,0,0,626,0,0,140,0,0,58,381,1076,824,
"Cults, Bieldside and Milltimber West",114,0,0,0,674,0,0,0,806,0,0,154,0,0,49,114,674,1011,
"Cults, Bieldside and Milltimber East",179,0,0,0,567,0,0,0,516,0,0,107,0,0,38,179,567,659,
"Cults, Bieldside and Milltimber Central",87,0,0,0,437,0,0,0,594,0,0,126,0,0,51,87,437,775,
"Garthdee",934,0,0,0,1182,0,0,0,357,0,0,59,0,0,15,934,1182,429,
"Braeside, Mannofield, Broomhill and Seafield East",494,0,0,0,1052,0,0,0,466,0,0,57,0,0,22,494,1052,542,
"Braeside, Mannofield, Broomhill and Seafield South",242,0,0,0,895,0,0,0,558,0,0,81,0,0,15,242,895,657,
"Braeside, Mannofield, Broomhill and Seafield North",314,0,0,0,1151,0,0,0,617,0,0,105,0,0,36,314,1151,758,
"Hazlehead",482,0,0,0,1361,0,0,0,938,0,0,148,0,0,36,482,1361,1122,
"Summerhill",539,0,0,0,861,0,0,0,330,0,0,62,0,0,11,539,861,397,
"Midstocket",490,0,0,0,1103,0,0,0,548,0,0,79,0,0,18,490,1103,638,
"Rosemount",1714,0,0,0,1406,0,0,0,280,0,0,35,0,0,8,1714,1406,323,
"West End North",219,0,0,0,775,0,0,0,499,0,0,88,0,0,42,219,775,625,
"West End South",961,0,0,0,1545,0,0,0,537,0,0,69,0,0,27,961,1545,637,
"City Centre West",1215,0,0,0,986,0,0,0,142,0,0,13,0,0,2,1215,986,160,
"City Centre East",940,0,0,0,526,0,0,0,74,0,0,11,0,0,3,940,526,91,
"Ferryhill North",890,0,0,0,1483,0,0,0,337,0,0,34,0,0,8,890,1483,379,
"Ferryhill South",704,0,0,0,1201,0,0,0,392,0,0,63,0,0,16,704,1201,471,
"Kincorth, Leggart and Nigg North",530,0,0,0,800,0,0,0,317,0,0,58,0,0,13,530,800,391,
"Kincorth, Leggart and Nigg South",515,0,0,0,1191,0,0,0,664,0,0,96,0,0,31,515,1191,788,
"Cove South",164,0,0,0,791,0,0,0,507,0,0,110,0,0,31,164,791,651,
