SuperWEB2(tm)

"Household"
"Data Zone (2022) by Number of cars or vans"
"Counting: Households"

Filters:
"Default Summation","Households"

"Number of cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Total",
"Data Zone (2022)",
"S01013482",79,246,130,22,14,491,
"S01013483",79,165,90,28,4,366,
"S01013484",43,166,68,11,4,292,
"S01013485",54,132,65,10,5,270,
"S01013486",70,125,79,13,6,297,
"S01013487",41,139,97,25,8,310,
"S01013488",14,100,97,27,17,255,
"S01013489",23,177,183,23,11,417,
"S01013490",22,112,176,49,17,376,
"S01013491",12,88,136,34,7,279,
"S01013492",10,72,81,26,6,196,
"S01013493",7,89,123,14,9,240,
"S01013494",39,136,107,7,1,293,
"S01013495",13,96,128,38,16,288,
"S01013496",12,103,125,21,6,268,
"S01013497",74,204,153,28,8,466,
"S01013498",80,164,113,22,8,385,
"S01013499",12,98,182,39,24,357,
"S01013500",13,91,146,31,11,292,
"S01013501",3,56,130,30,8,231,
"S01013502",58,189,136,26,8,420,
"S01013503",176,189,65,4,0,435,
"S01013504",85,169,75,9,0,340,
"S01013505",169,230,68,16,4,487,
"S01013506",204,238,61,13,0,516,
"S01013507",144,159,41,4,2,348,
"S01013508",157,197,47,12,3,416,
"S01013509",67,152,78,8,6,310,
"S01013510",31,151,122,14,8,324,
"S01013511",49,218,120,22,3,412,
"S01013512",182,303,95,8,1,588,
"S01013513",168,228,52,3,0,454,
"S01013514",37,170,116,22,4,349,
"S01013515",16,117,91,15,3,242,
"S01013516",36,169,116,18,4,343,
"S01013517",56,230,127,12,3,429,
"S01013518",94,210,108,16,0,428,
"S01013519",74,269,141,26,7,517,
"S01013520",32,181,125,24,5,360,
"S01013521",53,298,131,24,11,516,
"S01013522",134,284,117,24,4,567,
"S01013523",21,119,104,11,8,264,
"S01013524",132,206,80,7,3,430,
"S01013525",56,214,112,17,1,403,
"S01013526",15,103,153,25,8,304,
"S01013527",25,149,116,19,1,310,
"S01013528",41,172,147,28,8,399,
"S01013529",28,160,159,31,8,386,
"S01013530",113,122,39,4,3,281,
"S01013531",72,233,128,15,4,458,
"S01013532",94,177,106,15,6,398,
"S01013533",91,190,82,14,3,380,
"S01013534",88,109,32,9,0,232,
"S01013535",132,198,51,14,2,391,
"S01013536",134,190,60,9,1,394,
"S01013537",132,161,48,5,3,349,
"S01013538",48,133,61,10,4,255,
"S01013539",93,228,111,20,3,458,
"S01013540",32,183,104,11,2,333,
"S01013541",78,188,128,24,0,423,
"S01013542",102,210,90,11,3,413,
"S01013543",397,218,29,3,0,649,
"S01013544",373,195,26,3,0,597,
"S01013545",167,237,50,8,0,461,
"S01013546",308,147,30,0,0,481,
"S01013547",290,263,49,4,1,603,
"S01013548",108,145,26,7,0,289,
"S01013549",67,201,73,13,5,361,
"S01013550",130,275,108,11,0,521,
"S01013551",29,170,135,26,14,377,
"S01013552",17,144,105,21,4,292,
"S01013553",43,186,151,27,24,431,
"S01013554",77,192,123,12,6,408,
"S01013555",76,151,84,7,3,322,
"S01013556",116,232,68,15,1,429,
"S01013557",270,307,58,1,0,636,
"S01013558",244,259,35,3,0,550,
"S01013559",137,220,39,8,3,405,
"S01013560",38,188,130,22,12,390,
"S01013561",245,230,41,3,0,519,
"S01013562",177,193,34,1,0,405,
"S01013563",156,204,33,3,0,398,
"S01013564",293,186,25,1,1,507,
"S01013565",344,170,11,2,2,532,
"S01013566",255,110,23,5,0,390,
"S01013567",284,106,18,3,1,405,
"S01013568",209,132,12,0,0,360,
"S01013569",191,180,22,3,1,399,
"S01013570",151,182,35,4,0,374,
"S01013571",75,214,60,5,0,354,
"S01013572",105,196,53,8,2,364,
"S01013573",117,200,30,5,2,353,
"S01013574",146,309,66,5,2,526,
"S01013575",101,221,73,3,2,400,
"S01013576",192,163,17,1,1,381,
"S01013577",45,215,100,10,5,379,
"S01013578",220,253,42,8,1,521,
"S01013579",183,274,84,17,3,561,
"S01013580",163,250,75,13,6,507,
"S01013581",96,212,87,15,1,408,
"S01013582",117,138,54,12,1,318,
"S01013583",92,179,69,14,3,353,
"S01013584",133,119,35,11,1,297,
"S01013585",92,183,91,16,6,385,
"S01013586",93,186,71,13,3,366,
"S01013587",34,151,130,27,14,352,
"S01013588",18,179,132,10,2,341,
"S01013589",19,165,131,7,1,325,
"S01013590",130,210,78,13,2,436,
"S01013591",97,113,21,6,0,240,
"S01013592",137,203,84,7,3,433,
"S01013593",75,170,83,24,6,358,
"S01013594",18,134,59,18,0,234,
"S01013595",15,132,87,21,6,261,
"S01013596",11,89,127,33,6,264,
"S01013597",33,180,91,14,7,325,
"S01013598",52,137,81,17,5,291,
"S01013599",31,113,62,11,6,225,
"S01013600",68,192,115,24,4,403,
"S01013601",57,206,89,15,4,369,
"S01013602",36,123,68,4,2,231,
"S01013603",35,166,83,16,4,304,
"S01013604",133,201,60,10,0,407,
"S01013605",126,148,73,6,2,356,
"S01013606",232,240,71,4,1,548,
"S01013607",88,124,45,10,0,268,
"S01013608",139,125,16,1,0,283,
"S01013609",257,170,22,7,1,454,
"S01013610",335,174,19,1,0,529,
"S01013611",165,131,42,5,2,348,
"S01013612",211,204,54,4,1,477,
"S01013613",206,131,34,3,1,372,
"S01013614",124,109,38,8,2,280,
"S01013615",141,91,16,1,0,246,
"S01013616",120,134,36,6,0,298,
"S01013617",195,161,24,9,0,388,
"S01013618",133,137,26,4,1,299,
"S01013619",315,217,29,2,3,562,
"S01013620",415,177,21,0,1,614,
"S01013621",157,246,66,5,3,477,
"S01013622",309,244,44,1,0,602,
"S01013623",283,173,37,4,0,495,
"S01013624",202,139,31,5,0,372,
"S01013625",249,302,79,4,3,634,
"S01013626",236,105,16,0,0,361,
"S01013627",165,142,12,0,0,319,
"S01013628",180,132,20,2,0,333,
"S01013629",413,204,37,2,1,652,
"S01013630",334,213,38,2,0,586,
"S01013631",198,157,33,4,1,393,
"S01013632",245,90,10,1,0,348,
"S01013633",177,113,35,4,0,327,
"S01013634",91,163,50,5,3,313,
"S01013635",207,221,35,4,0,467,
"S01013636",142,284,93,6,0,524,
"S01013637",234,205,46,3,0,490,
"S01013638",113,121,18,3,1,256,
"S01013639",170,144,25,5,0,348,
"S01013640",216,153,27,3,1,399,
"S01013641",152,143,25,6,0,328,
"S01013642",127,75,19,3,2,226,
"S01013643",89,113,38,2,0,242,
"S01013644",157,89,18,4,0,270,
"S01013645",109,108,17,3,2,239,
"S01013646",114,87,20,6,0,229,
"S01013647",203,116,35,11,3,368,
"S01013648",289,245,64,6,2,607,
"S01013649",257,153,21,5,0,434,
"S01013650",200,156,41,7,1,409,
"S01013651",352,206,30,4,1,591,
"S01013652",190,169,31,0,0,387,
"S01013653",70,108,38,2,1,212,
"S01013654",190,116,30,4,0,340,
"S01013655",241,205,33,2,2,483,
"S01013656",176,105,18,2,0,302,
"S01013657",177,112,48,4,0,341,
"S01013658",173,108,38,4,2,321,
"S01013659",272,220,43,6,0,544,
"S01013660",171,145,54,8,4,379,
"S01013661",130,156,57,2,3,344,
"S01013662",76,162,67,4,1,307,
"S01013663",215,157,60,6,1,439,
"S01013664",169,219,66,3,1,458,
"S01013665",179,164,29,6,0,376,
"S01013666",163,152,43,5,2,364,
"S01013667",196,152,36,5,1,390,
"S01013668",147,151,37,5,0,341,
"S01013669",102,120,37,2,0,263,
"S01013670",160,181,56,4,0,402,
"S01013671",185,220,79,12,2,495,
"S01013672",95,299,120,15,6,535,
"S01013673",93,150,47,8,4,299,
"S01013674",98,178,55,3,4,338,
"S01013675",83,181,57,13,5,339,
"S01013676",188,271,75,9,6,548,
"S01013677",272,198,49,8,1,530,
"S01013678",95,146,67,11,1,321,
"S01013679",147,164,39,12,4,365,
"S01013680",161,182,46,6,3,399,
"S01013681",223,145,27,4,0,396,
"S01013682",58,93,36,4,1,196,
"S01013683",145,187,56,5,0,393,
"S01013684",113,132,56,9,1,316,
"S01013685",88,149,78,15,1,328,
"S01013686",100,125,46,8,1,280,
"S01013687",112,121,33,4,1,275,
"S01013688",152,170,74,8,0,404,
"S01013689",81,130,53,10,4,273,
"S01013690",66,104,47,3,0,220,
"S01013691",134,153,71,9,5,374,
"S01013692",142,206,72,11,4,435,
"S01013693",117,204,79,12,1,413,
"S01013694",158,199,80,7,1,445,
"S01013695",74,111,60,5,2,248,
"S01013696",159,192,79,12,2,448,
"S01013697",105,147,48,7,4,309,
"S01013698",63,94,45,8,2,212,
"S01013699",75,101,49,5,4,234,
"S01013700",133,192,78,19,5,426,
"S01013701",61,121,51,12,0,246,
"S01013702",98,154,94,20,6,374,
"S01013703",65,120,61,7,2,258,
"S01013704",86,146,96,9,0,338,
"S01013705",80,126,73,12,2,293,
"S01013706",67,136,63,8,2,275,
"S01013707",127,110,64,8,5,314,
"S01013708",70,131,50,17,3,267,
"S01013709",121,100,35,8,1,262,
"S01013710",240,172,51,9,1,469,
"S01013711",109,154,63,6,3,331,
"S01013712",192,179,52,11,2,436,
"S01013713",64,135,61,8,1,266,
"S01013714",101,117,40,6,1,261,
"S01013715",11,99,155,45,13,323,
"S01013716",24,113,81,16,7,243,
"S01013717",16,159,177,41,4,397,
"S01013718",28,142,131,23,5,327,
"S01013719",8,51,83,23,8,174,
"S01013720",40,174,135,11,2,365,
"S01013721",11,95,63,21,8,199,
"S01013722",15,144,147,31,14,355,
"S01013723",30,158,110,12,5,316,
"S01013724",94,304,118,5,1,522,
"S01013725",88,203,45,5,3,341,
"S01013726",43,180,125,11,1,360,
"S01013727",65,266,108,9,4,452,
"S01013728",69,179,69,15,0,329,
"S01013729",102,178,47,3,2,336,
"S01013730",76,101,42,8,0,227,
"S01013731",74,236,120,15,3,440,
"S01013732",62,164,59,5,1,291,
"S01013733",158,219,72,11,3,463,
"S01013734",104,163,100,15,5,387,
"S01013735",35,139,62,20,3,258,
"S01013736",22,105,86,12,2,224,
"S01013737",132,197,73,17,2,425,
"S01013738",41,181,127,14,3,366,
"S01013739",83,220,91,13,4,411,
"S01013740",55,140,71,10,6,284,
"S01013741",39,95,42,16,4,195,
"S01013742",87,163,69,9,0,330,
"S01013743",88,215,110,20,6,446,
"S01013744",55,199,104,30,8,396,
"S01013745",30,123,103,35,7,300,
"S01013746",9,143,95,18,11,280,
"S01013747",27,195,104,15,0,342,
"S01013748",37,164,88,19,3,308,
"S01013749",22,128,73,15,4,247,
"S01013750",34,140,64,11,2,251,
"S01013751",32,179,100,19,1,333,
"S01013752",14,128,156,14,3,317,
"S01013753",106,195,108,9,5,428,
"S01013754",16,176,120,22,6,342,
"S01013755",41,190,104,17,1,347,
"S01013756",33,156,75,7,3,277,
"S01013757",21,89,96,22,6,237,
"S01013758",38,151,71,11,6,285,
"S01013759",3,69,108,27,0,213,
"S01013760",57,204,105,18,7,393,
"S01013761",27,139,97,9,2,269,
"S01013762",7,66,64,8,5,150,
"S01013763",38,172,104,18,12,344,
"S01013764",32,178,126,24,5,365,
"S01013765",13,99,90,15,4,221,
"S01013766",91,252,104,14,5,466,
"S01013767",112,133,44,6,1,296,
"S01013768",24,142,75,17,5,261,
"S01013769",55,154,66,8,3,287,
"S01013770",71,129,54,5,2,258,
"S01013771",53,109,50,11,6,226,
"S01013772",45,130,80,11,6,272,
"S01013773",56,204,106,17,9,392,
"S01013774",61,128,55,7,3,255,
"S01013775",36,162,65,14,0,283,
"S01013776",12,96,81,23,5,217,
"S01013777",31,138,122,28,11,330,
"S01013778",45,119,92,15,7,280,
"S01013779",51,128,101,28,4,310,
"S01013780",18,123,116,17,14,284,
"S01013781",10,119,141,11,1,280,
"S01013782",39,141,70,28,11,291,
"S01013783",101,235,96,21,11,456,
"S01013784",19,101,114,41,12,289,
"S01013785",14,139,109,32,18,312,
"S01013786",59,124,78,18,10,289,
"S01013787",48,136,74,22,4,283,
"S01013788",36,137,126,25,11,337,
"S01013789",17,101,132,21,12,283,
"S01013790",4,97,119,46,19,278,
"S01013791",3,73,120,44,20,260,
"S01013792",75,188,111,36,15,421,
"S01013793",6,88,168,53,28,342,
"S01013794",14,130,86,16,3,252,
"S01013795",14,107,102,10,0,238,
"S01013796",67,137,89,14,8,315,
"S01013797",17,95,101,15,5,233,
"S01013798",48,163,148,41,16,413,
"S01013799",42,119,120,36,13,330,
"S01013800",7,56,74,24,14,169,
"S01013801",25,163,200,49,31,472,
"S01013802",4,107,120,30,12,271,
"S01013803",40,163,94,18,2,318,
"S01013804",11,73,98,20,15,218,
"S01013805",47,174,127,35,21,399,
"S01013806",7,98,153,62,28,344,
"S01013807",26,74,92,24,12,225,
"S01013808",17,112,156,49,18,352,
"S01013809",53,148,125,30,13,369,
"S01013810",27,129,157,38,17,364,
"S01013811",76,134,69,22,4,305,
"S01013812",55,149,113,25,6,348,
"S01013813",11,80,82,33,11,216,
"S01013814",8,109,141,49,18,325,
"S01013815",13,83,151,61,33,334,
"S01013816",14,72,79,19,4,187,
"S01013817",10,54,108,33,17,218,
"S01013818",5,133,114,14,1,270,
"S01013819",10,84,121,17,6,235,
"S01013820",6,72,155,52,27,313,
"S01013821",31,146,106,22,4,310,
"S01013822",108,185,74,11,3,382,
"S01013823",57,202,152,29,3,442,
"S01013824",45,122,152,28,11,358,
"S01013825",117,192,74,21,4,408,
"S01013826",131,212,84,25,6,457,
"S01013827",3,49,75,12,4,141,
"S01013828",46,139,99,22,6,311,
"S01013829",22,113,71,9,3,219,
"S01013830",65,207,123,28,10,436,
"S01013831",19,74,76,16,6,191,
"S01013832",10,85,127,42,8,269,
"S01013833",178,225,73,9,2,485,
"S01013834",31,96,89,16,6,234,
"S01013835",30,105,69,20,4,229,
"S01013836",25,112,80,24,9,251,
"S01013837",55,192,121,22,5,397,
"S01013838",14,124,143,22,8,310,
"S01013839",9,77,117,28,10,249,
"S01013840",16,142,163,34,15,366,
"S01013841",26,135,108,27,4,305,
"S01013842",17,150,110,31,2,316,
"S01013843",49,152,93,28,1,325,
"S01013844",36,164,127,34,10,371,
"S01013845",35,115,69,18,5,242,
"S01013846",22,106,95,20,7,245,
"S01013847",16,103,107,19,4,251,
"S01013848",12,54,109,39,17,231,
"S01013849",13,60,81,17,4,179,
"S01013850",5,69,114,15,6,209,
"S01013851",13,74,106,15,6,215,
"S01013852",7,58,89,7,3,166,
"S01013853",42,190,116,17,2,370,
"S01013854",81,133,97,25,3,337,
"S01013855",10,88,102,24,5,230,
"S01013856",18,92,192,42,33,372,
"S01013857",36,179,176,31,15,434,
"S01013858",5,77,152,57,35,330,
"S01013859",16,85,140,44,19,295,
"S01013860",21,134,201,73,23,453,
"S01013861",6,53,133,36,26,251,
"S01013862",28,159,174,36,16,414,
"S01013863",76,110,35,8,2,234,
"S01013864",3,80,143,26,7,258,
"S01013865",46,173,106,15,2,345,
"S01013866",51,145,87,13,8,306,
"S01013867",37,139,135,21,4,332,
"S01013868",68,221,136,44,10,480,
"S01013869",10,88,88,23,9,218,
"S01013870",29,128,116,26,9,308,
"S01013871",62,159,176,47,20,465,
"S01013872",17,95,99,35,10,256,
"S01013873",19,107,114,43,20,303,
"S01013874",4,71,104,37,13,232,
"S01013875",48,183,179,50,21,478,
"S01013876",23,123,142,47,19,356,
"S01013877",43,151,107,24,12,335,
"S01013878",21,150,171,54,26,421,
"S01013879",9,131,225,64,31,458,
"S01013880",31,142,95,40,19,330,
"S01013881",7,101,103,46,14,268,
"S01013882",4,76,134,45,23,286,
"S01013883",4,78,103,35,20,237,
"S01013884",80,163,83,18,4,345,
"S01013885",16,119,88,23,8,249,
"S01013886",31,151,111,17,10,320,
"S01013887",23,134,197,58,21,435,
"S01013888",45,149,120,27,11,351,
"S01013889",6,57,110,27,11,211,
"S01013890",14,103,121,47,25,310,
"S01013891",61,186,80,10,8,347,
"S01013892",49,149,119,27,11,352,
"S01013893",42,176,174,42,11,443,
"S01013894",57,164,84,22,6,336,
"S01013895",29,98,73,21,7,228,
"S01013896",101,220,124,13,12,470,
"S01013897",55,169,72,6,4,306,
"S01013898",71,191,93,24,4,383,
"S01013899",34,148,90,21,5,298,
"S01013900",55,165,105,26,7,357,
"S01013901",22,98,96,21,7,240,
"S01013902",16,108,75,18,3,221,
"S01013903",80,122,64,11,3,277,
"S01013904",83,121,71,17,8,297,
"S01013905",95,188,94,13,5,396,
"S01013906",80,173,120,30,5,406,
"S01013907",78,140,74,18,6,317,
"S01013908",161,199,54,15,5,437,
"S01013909",117,204,74,12,7,417,
"S01013910",120,233,67,12,3,435,
"S01013911",6,62,98,32,19,220,
"S01013912",4,129,175,40,10,361,
"S01013913",26,154,214,14,8,419,
"S01013914",14,102,101,12,2,231,
"S01013915",23,89,124,18,6,261,
"S01013916",5,81,112,13,2,213,
"S01013917",12,92,135,9,4,254,
"S01013918",7,84,97,46,15,246,
"S01013919",8,61,102,31,22,225,
"S01013920",16,89,150,56,27,341,
"S01013921",8,96,136,53,22,313,
"S01013922",23,129,135,43,14,348,
"S01013923",8,83,193,26,14,324,
"S01013924",12,77,72,16,7,188,
"S01013925",17,103,61,14,5,200,
"S01013926",4,79,150,34,5,274,
"S01013927",8,64,129,30,20,251,
"S01013928",84,240,133,25,8,488,
"S01013929",12,98,161,51,23,346,
"S01013930",30,81,62,18,10,200,
"S01013931",9,77,120,38,17,261,
"S01013932",12,48,94,21,1,181,
"S01013933",6,44,112,20,5,188,
"S01013934",20,110,124,30,6,290,
"S01013935",11,49,69,22,10,159,
"S01013936",2,63,164,40,21,289,
"S01013937",21,128,170,33,9,361,
"S01013938",7,80,107,47,14,258,
"S01013939",9,62,150,36,15,274,
"S01013940",14,108,72,15,8,220,
"S01013941",24,153,148,18,6,350,
"S01013942",35,138,113,20,5,307,
"S01013943",31,134,88,16,6,273,
"S01013944",28,177,109,19,5,341,
"S01013945",41,122,55,9,0,232,
"S01013946",7,98,114,19,7,238,
"S01013947",43,171,132,35,12,392,
"S01013948",26,107,77,22,6,241,
"S01013949",23,150,163,26,13,375,
"S01013950",6,46,121,29,11,210,
"S01013951",22,112,119,23,10,283,
"S01013952",19,154,122,14,4,314,
"S01013953",14,86,83,16,2,201,
"S01013954",12,83,132,52,27,307,
"S01013955",23,122,182,38,13,380,
"S01013956",27,163,152,41,10,389,
"S01013957",11,94,214,56,21,394,
"S01013958",17,117,166,35,7,342,
"S01013959",50,128,90,20,2,290,
"S01013960",6,70,82,32,13,206,
"S01013961",7,95,141,45,12,300,
"S01013962",26,149,156,36,21,385,
"S01013963",7,53,77,12,10,162,
"S01013964",31,132,87,7,2,261,
"S01013965",21,154,174,29,16,394,
"S01013966",11,95,107,31,20,262,
"S01013967",58,172,87,23,5,345,
"S01013968",32,157,125,17,3,334,
"S01013969",94,165,77,16,5,363,
"S01013970",11,83,179,44,8,326,
"S01013971",10,105,156,38,7,324,
"S01013972",47,213,121,27,9,420,
"S01013973",20,139,96,27,5,285,
"S01013974",39,181,103,19,5,346,
"S01013975",32,90,71,18,7,216,
"S01013976",59,93,68,22,5,245,
"S01013977",25,103,105,26,2,262,
"S01013978",24,90,67,10,4,189,
"S01013979",78,181,118,20,5,402,
"S01013980",11,107,116,28,7,269,
"S01013981",60,126,60,11,3,264,
"S01013982",7,97,147,50,20,326,
"S01013983",20,122,164,23,5,336,
"S01013984",17,152,137,38,9,353,
"S01013985",16,147,156,76,41,436,
"S01013986",4,49,83,29,20,185,
"S01013987",9,101,131,50,16,307,
"S01013988",33,165,169,52,17,440,
"S01013989",52,192,165,33,18,460,
"S01013990",11,106,162,47,22,346,
"S01013991",27,101,140,47,16,329,
"S01013992",27,125,149,28,14,342,
"S01013993",21,91,90,29,8,239,
"S01013994",13,85,119,36,19,272,
"S01013995",30,124,114,24,9,300,
"S01013996",37,106,76,18,11,246,
"S01013997",23,89,107,22,4,245,
"S01013998",5,44,129,24,13,215,
"S01013999",48,139,99,18,5,313,
"S01014000",5,66,94,39,18,221,
"S01014001",14,74,144,45,20,294,
"S01014002",2,48,103,36,17,202,
"S01014003",35,116,55,13,3,221,
"S01014004",7,75,107,43,23,255,
"S01014005",3,65,90,35,17,210,
"S01014006",10,70,111,27,21,236,
"S01014007",14,121,147,46,33,357,
"S01014008",33,103,161,60,16,373,
"S01014009",70,179,131,21,3,402,
"S01014010",8,100,112,46,26,285,
