SuperWEB2(tm)

"Household"
"Data Zone (2022) by Household tenure - 3 groups, collapsed and Number of cars or vans"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household tenure - 3 groups, collapsed","Owned",,,,,"Social Rented by Council (LA) or Housing Association/ Registered Social Landlord",,,,,"Private rented or living rent free",,,,,
"Number of cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans",
"Data Zone (2022)",
"S01013482",29,163,114,20,12,24,18,0,0,0,26,65,15,1,2,
"S01013483",43,118,79,25,4,34,36,10,1,0,6,11,3,1,0,
"S01013484",21,133,57,10,4,16,10,1,0,0,7,22,10,1,0,
"S01013485",21,97,60,13,5,25,28,3,0,0,8,8,4,1,0,
"S01013486",24,79,68,12,6,35,25,7,1,0,12,20,4,0,0,
"S01013487",25,115,86,28,8,10,14,1,1,0,2,10,10,0,0,
"S01013488",12,95,97,21,16,2,2,0,0,0,1,3,0,3,0,
"S01013489",22,167,177,21,11,2,4,0,0,0,2,6,6,2,0,
"S01013490",20,91,165,49,17,1,6,0,0,0,1,15,10,0,0,
"S01013491",7,75,121,34,7,1,3,3,0,0,1,10,14,0,0,
"S01013492",8,58,74,26,6,1,3,0,0,0,1,12,7,0,0,
"S01013493",6,78,112,14,9,0,4,5,0,0,1,7,6,0,0,
"S01013494",6,58,85,7,1,28,70,20,3,0,5,4,2,0,0,
"S01013495",7,72,108,36,16,0,0,0,0,0,5,24,16,2,0,
"S01013496",10,93,119,21,5,0,1,0,0,0,2,9,6,0,1,
"S01013497",52,168,136,28,8,8,5,1,0,0,14,27,16,0,0,
"S01013498",46,110,97,22,6,15,14,2,0,0,15,38,17,0,2,
"S01013499",9,87,178,39,23,0,2,0,0,0,1,9,7,0,2,
"S01013500",11,83,137,31,11,0,0,0,0,0,2,8,9,0,0,
"S01013501",3,45,120,31,8,2,1,0,0,0,0,10,10,3,0,
"S01013502",39,151,121,26,8,10,17,2,0,0,8,24,13,0,0,
"S01013503",28,94,46,4,0,111,61,5,0,0,37,34,11,0,0,
"S01013504",26,92,49,6,0,49,57,14,1,0,10,23,15,0,0,
"S01013505",51,117,48,8,0,73,56,14,6,2,45,57,9,3,0,
"S01013506",49,104,34,7,0,72,36,8,1,0,83,99,16,5,0,
"S01013507",33,86,23,4,1,76,45,11,2,1,31,28,7,1,0,
"S01013508",39,91,26,5,0,82,71,12,5,3,36,34,10,2,0,
"S01013509",26,129,76,7,6,15,0,0,0,0,26,23,2,1,0,
"S01013510",18,137,109,14,8,2,0,0,0,0,8,13,13,0,0,
"S01013511",25,178,104,17,3,3,1,0,1,0,22,37,15,4,1,
"S01013512",68,197,75,7,0,9,2,2,0,0,102,104,18,2,0,
"S01013513",82,143,43,3,0,10,2,1,0,0,76,83,6,0,0,
"S01013514",32,162,112,22,4,0,0,1,0,0,5,15,3,0,0,
"S01013515",11,110,88,14,3,1,2,0,0,0,2,8,5,0,0,
"S01013516",26,151,110,17,4,2,2,0,0,0,8,16,6,1,0,
"S01013517",37,191,116,12,3,1,0,0,0,0,21,38,11,0,0,
"S01013518",33,179,102,14,0,56,15,0,0,0,8,15,6,4,0,
"S01013519",61,220,128,25,8,5,2,0,0,0,7,47,13,1,1,
"S01013520",28,164,120,19,5,2,0,0,0,0,2,14,5,1,0,
"S01013521",21,175,98,23,11,10,2,0,0,0,25,121,32,1,0,
"S01013522",72,223,98,25,4,35,7,1,0,0,27,57,18,1,0,
"S01013523",18,98,100,11,8,0,1,0,0,0,3,20,2,0,0,
"S01013524",30,83,55,6,3,88,89,14,0,0,14,31,11,1,0,
"S01013525",27,165,103,18,1,22,29,4,0,0,7,19,5,0,0,
"S01013526",7,79,142,23,6,6,8,4,0,0,3,12,7,2,3,
"S01013527",20,140,111,19,1,2,2,0,0,0,3,7,5,0,0,
"S01013528",31,141,131,28,6,4,2,0,0,0,6,29,16,0,2,
"S01013529",24,143,148,30,8,2,2,2,0,0,4,16,10,1,0,
"S01013530",22,69,32,1,3,79,41,5,0,0,12,12,3,2,0,
"S01013531",44,188,116,12,3,9,3,2,1,0,16,39,8,4,2,
"S01013532",33,112,91,15,4,57,47,9,0,1,3,21,6,0,1,
"S01013533",37,112,62,12,2,38,41,8,1,0,16,37,12,1,0,
"S01013534",20,57,26,9,0,41,28,2,0,0,23,24,3,0,0,
"S01013535",29,105,39,11,2,94,65,6,2,0,9,25,3,0,0,
"S01013536",19,96,38,8,1,107,76,12,2,0,8,15,10,1,0,
"S01013537",61,115,38,5,3,2,0,0,0,0,69,45,10,0,0,
"S01013538",18,96,58,8,4,8,7,0,0,0,18,30,6,3,0,
"S01013539",44,177,100,20,3,26,8,2,0,0,26,43,10,0,0,
"S01013540",27,155,100,11,2,0,1,0,0,0,5,27,6,0,0,
"S01013541",28,127,113,24,0,27,21,4,1,0,25,43,11,0,0,
"S01013542",41,149,78,6,3,43,29,6,0,0,18,32,6,1,0,
"S01013543",91,91,16,1,0,141,42,2,0,0,164,82,9,2,0,
"S01013544",57,91,13,1,0,133,46,0,0,0,183,61,12,0,0,
"S01013545",66,133,35,8,0,6,4,2,0,0,99,100,16,0,0,
"S01013546",59,65,10,0,0,115,19,8,0,0,134,63,11,0,0,
"S01013547",66,116,25,4,1,12,3,1,0,0,212,145,20,0,0,
"S01013548",23,83,22,6,0,20,5,0,0,0,65,56,7,2,0,
"S01013549",38,147,61,13,3,3,4,0,0,0,28,53,10,0,1,
"S01013550",44,184,81,9,0,8,5,0,0,0,78,86,23,2,0,
"S01013551",22,136,125,26,14,0,0,1,0,0,7,33,9,0,0,
"S01013552",5,111,97,18,4,0,1,0,0,0,13,32,9,3,0,
"S01013553",25,124,126,25,23,0,1,0,0,0,18,61,25,3,1,
"S01013554",36,142,109,11,6,1,0,0,0,0,40,49,16,1,1,
"S01013555",36,113,74,7,1,0,4,0,0,0,40,34,10,0,1,
"S01013556",36,139,52,13,1,5,5,0,0,0,80,85,12,2,0,
"S01013557",59,178,35,1,0,29,9,0,0,0,183,117,23,0,0,
"S01013558",77,125,17,2,1,9,2,0,0,0,164,133,18,0,1,
"S01013559",34,140,31,7,3,7,1,0,0,0,92,79,8,1,0,
"S01013560",25,154,119,20,11,1,1,0,0,0,12,33,14,2,1,
"S01013561",47,84,20,3,0,29,23,1,0,0,169,123,20,0,0,
"S01013562",49,86,11,0,0,8,13,0,0,0,123,94,22,1,0,
"S01013563",45,92,22,3,0,11,5,0,0,0,104,107,11,2,0,
"S01013564",60,73,10,1,1,106,48,4,0,0,129,68,11,1,0,
"S01013565",60,65,3,0,1,30,12,1,0,0,254,96,7,2,0,
"S01013566",34,41,11,2,0,57,27,0,0,0,164,42,7,1,0,
"S01013567",48,40,10,2,1,50,13,1,1,0,182,51,7,0,0,
"S01013568",25,52,8,0,0,54,11,4,0,0,132,66,3,0,0,
"S01013569",39,80,12,3,1,30,7,1,0,0,122,93,6,1,0,
"S01013570",43,96,17,4,0,21,10,0,0,0,87,74,18,0,0,
"S01013571",27,108,36,1,0,2,1,0,0,0,46,107,24,4,0,
"S01013572",42,121,34,6,2,9,4,0,0,0,54,74,20,1,0,
"S01013573",30,84,21,3,0,28,35,3,0,2,59,81,7,2,0,
"S01013574",53,162,43,5,2,16,10,0,0,0,77,138,23,0,0,
"S01013575",31,137,52,3,2,6,5,0,0,0,64,83,20,0,0,
"S01013576",64,85,11,1,1,15,7,0,0,0,116,72,13,0,0,
"S01013577",32,166,95,10,5,0,0,0,0,0,13,47,6,0,0,
"S01013578",50,138,29,6,1,88,34,5,0,0,79,78,8,3,0,
