SuperWEB2(tm)

"Household"
"Data Zone (2022) by Household tenure - 5 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household tenure - 5 groups, collapsed","Owned: Owned outright","Owned: Owns with a mortgage or loan or shared ownership","Social Rented: Council (LA) or Housing Association/ Registered Social Landlord","Private rented","Living rent free","Total",
"Data Zone (2022)",
"S01013482",169,166,43,101,11,491,
"S01013483",157,110,78,24,2,366,
"S01013484",89,134,27,39,3,292,
"S01013485",88,104,54,22,1,270,
"S01013486",110,78,72,29,4,297,
"S01013487",175,85,28,13,5,310,
"S01013488",163,77,3,6,2,255,
"S01013489",204,189,6,14,1,417,
"S01013490",193,149,8,24,2,376,
"S01013491",125,122,7,21,2,279,
"S01013492",111,62,3,18,2,196,
"S01013493",63,157,10,14,0,240,
"S01013494",16,141,122,11,3,293,
"S01013495",155,84,4,46,4,288,
"S01013496",133,116,1,16,2,268,
"S01013497",249,142,14,59,2,466,
"S01013498",193,90,33,55,14,385,
"S01013499",208,125,2,15,5,357,
"S01013500",170,103,0,18,3,292,
"S01013501",108,96,2,19,0,231,
"S01013502",217,129,29,38,7,420,
"S01013503",79,94,180,80,0,435,
"S01013504",87,89,122,47,2,340,
"S01013505",117,103,155,109,7,487,
"S01013506",97,98,116,193,10,516,
"S01013507",79,71,135,59,8,348,
"S01013508",81,81,172,74,8,416,
"S01013509",147,100,15,45,7,310,
"S01013510",163,124,2,31,5,324,
"S01013511",186,145,5,75,2,412,
"S01013512",177,172,13,219,7,588,
"S01013513",139,136,13,163,4,454,
"S01013514",210,118,1,15,5,349,
"S01013515",137,89,3,7,3,242,
"S01013516",197,111,4,28,4,343,
"S01013517",193,164,2,67,3,429,
"S01013518",201,130,68,29,3,428,
"S01013519",289,151,8,59,10,517,
"S01013520",203,133,2,19,5,360,
"S01013521",175,153,9,173,6,516,
"S01013522",266,155,41,88,14,567,
"S01013523",155,80,1,24,3,264,
"S01013524",115,64,194,51,9,430,
"S01013525",153,160,55,29,4,403,
"S01013526",78,179,18,24,5,304,
"S01013527",178,113,4,10,7,310,
"S01013528",215,122,7,51,2,399,
"S01013529",238,116,5,20,9,386,
"S01013530",68,60,125,20,8,281,
"S01013531",229,139,14,73,2,458,
"S01013532",163,94,114,22,6,398,
"S01013533",119,106,89,58,8,380,
