SuperWEB2(tm)

"Household"
"Intermediate Zone (2022) by Household tenure - 5 groups, collapsed and Household tenure - 3 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household tenure - 5 groups, collapsed","Owned: Owned outright",,,"Owned: Owns with a mortgage or loan or shared ownership",,,"Social Rented: Council (LA) or Housing Association/ Registered Social Landlord",,,"Private rented",,,"Living rent free",,,"Total",,,
"Household tenure - 3 groups, collapsed","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free",
"Intermediate Zone (2022)",
"Culter",956,0,0,753,0,0,0,305,0,0,0,228,0,0,32,1713,305,263,
"Cults, Bieldside and Milltimber West",709,0,0,823,0,0,0,155,0,0,0,105,0,0,10,1532,155,112,
"Cults, Bieldside and Milltimber East",730,0,0,432,0,0,0,50,0,0,0,176,0,0,23,1162,50,192,
"Cults, Bieldside and Milltimber Central",703,0,0,453,0,0,0,33,0,0,0,91,0,0,18,1156,33,106,
"Garthdee",540,0,0,534,0,0,0,880,0,0,0,558,0,0,36,1074,880,595,
"Braeside, Mannofield, Broomhill and Seafield East",812,0,0,670,0,0,0,49,0,0,0,533,0,0,24,1482,49,560,
"Braeside, Mannofield, Broomhill and Seafield South",935,0,0,615,0,0,0,78,0,0,0,146,0,0,17,1546,78,163,
"Braeside, Mannofield, Broomhill and Seafield North",1088,0,0,672,0,0,0,63,0,0,0,364,0,0,36,1760,63,400,
"Hazlehead",1273,0,0,950,0,0,0,421,0,0,0,278,0,0,44,2225,421,319,
"Summerhill",501,0,0,436,0,0,0,639,0,0,0,192,0,0,26,937,639,218,
"Midstocket",907,0,0,706,0,0,0,188,0,0,0,398,0,0,36,1613,188,434,
"Rosemount",662,0,0,675,0,0,0,571,0,0,0,1489,0,0,44,1337,571,1534,
"West End North",698,0,0,503,0,0,0,19,0,0,0,379,0,0,22,1201,19,401,
"West End South",900,0,0,912,0,0,0,76,0,0,0,1210,0,0,41,1812,76,1251,
"City Centre West",331,0,0,400,0,0,0,293,0,0,0,1304,0,0,34,734,293,1338,
"City Centre East",140,0,0,273,0,0,0,261,0,0,0,867,0,0,13,413,261,884,
"Ferryhill North",545,0,0,776,0,0,0,175,0,0,0,1204,0,0,50,1320,175,1257,
"Ferryhill South",811,0,0,665,0,0,0,325,0,0,0,537,0,0,35,1476,325,575,
"Kincorth, Leggart and Nigg North",580,0,0,511,0,0,0,495,0,0,0,110,0,0,20,1091,495,133,
"Kincorth, Leggart and Nigg South",736,0,0,1096,0,0,0,461,0,0,0,171,0,0,29,1833,461,200,
"Cove South",662,0,0,780,0,0,0,39,0,0,0,117,0,0,5,1441,39,122,
"Cove North",721,0,0,758,0,0,0,412,0,0,0,158,0,0,23,1479,412,181,
