SuperWEB2(tm)

"Household"
"Intermediate Zone (2022) by Household size - 5 groups, collapsed and Household tenure - 5 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household size - 5 groups, collapsed","One person",,,,,"Two people",,,,,"Three people",,,,,"Four people",,,,,"Five or more people",,,,,"Total",,,,,
"Household tenure - 5 groups, collapsed","Owned: Owned outright","Owned: Owns with a mortgage or loan or shared ownership","Social Rented: Council (LA) or Housing Association/ Registered Social Landlord","Private rented","Living rent free","Owned: Owned outright","Owned: Owns with a mortgage or loan or shared ownership","Social Rented: Council (LA) or Housing Association/ Registered Social Landlord","Private rented","Living rent free","Owned: Owned outright","Owned: Owns with a mortgage or loan or shared ownership","Social Rented: Council (LA) or Housing Association/ Registered Social Landlord","Private rented","Living rent free","Owned: Owned outright","Owned: Owns with a mortgage or loan or shared ownership","Social Rented: Council (LA) or Housing Association/ Registered Social Landlord","Private rented","Living rent free","Owned: Owned outright","Owned: Owns with a mortgage or loan or shared ownership","Social Rented: Council (LA) or Housing Association/ Registered Social Landlord","Private rented","Living rent free","Owned: Owned outright","Owned: Owns with a mortgage or loan or shared ownership","Social Rented: Council (LA) or Housing Association/ Registered Social Landlord","Private rented","Living rent free",
"Intermediate Zone (2022)",
"Culter",353,228,160,104,16,464,210,79,72,12,87,124,35,32,1,50,152,15,20,3,8,40,14,11,0,956,753,305,228,32,
"Cults, Bieldside and Milltimber West",196,80,30,11,6,382,256,65,32,2,67,197,34,16,1,52,220,18,23,0,11,68,12,20,1,709,823,155,105,10,
"Cults, Bieldside and Milltimber East",301,78,28,39,20,311,90,9,44,4,69,93,2,26,3,43,130,3,36,0,6,41,4,25,0,730,432,50,176,23,
"Cults, Bieldside and Milltimber Central",202,34,19,11,3,365,91,4,17,8,80,92,1,23,2,38,169,3,27,1,18,64,3,13,1,703,453,33,91,18,
"Garthdee",278,165,476,201,25,176,164,190,164,6,54,102,104,75,0,22,67,63,58,1,6,36,44,55,3,540,534,880,558,36,
"Braeside, Mannofield, Broomhill and Seafield East",395,253,40,300,17,322,187,7,158,5,66,82,2,35,3,18,127,0,28,0,11,21,0,12,0,812,670,49,533,24,
"Braeside, Mannofield, Broomhill and Seafield South",387,138,64,49,10,444,182,7,45,5,58,115,4,26,3,40,157,2,13,0,6,21,0,13,0,935,615,78,146,17,
"Braeside, Mannofield, Broomhill and Seafield North",500,184,55,151,23,469,181,3,117,11,83,130,4,48,0,34,148,2,35,1,4,29,0,14,0,1088,672,63,364,36,
"Hazlehead",535,183,263,81,26,566,250,84,91,10,111,220,47,44,2,48,241,16,39,3,13,58,11,20,0,1273,950,421,278,44,
"Summerhill",220,131,369,74,17,213,117,153,68,7,35,64,74,28,1,25,85,33,14,1,8,37,7,7,0,501,436,639,192,26,
"Midstocket",397,178,127,198,23,392,185,35,92,6,62,145,15,41,0,44,162,5,52,7,14,40,3,17,1,907,706,188,398,36,
"Rosemount",435,362,427,932,33,177,181,95,377,9,30,56,28,104,1,17,66,18,39,0,4,10,6,34,1,662,675,571,1489,44,
"West End North",267,103,8,139,12,308,150,4,134,8,68,97,0,44,0,39,111,4,35,0,15,42,2,24,0,698,503,19,379,22,
"West End South",472,406,56,708,25,293,226,14,325,10,85,121,3,92,4,38,131,2,66,3,12,28,0,19,0,900,912,76,1210,41,
"City Centre West",251,257,199,691,29,60,101,47,457,4,19,28,20,98,1,5,8,14,34,0,2,2,8,22,0,331,400,293,1304,34,
"City Centre East",96,168,170,471,11,32,77,64,293,4,8,18,16,58,0,2,8,6,25,0,2,4,2,24,0,140,273,261,867,13,
"Ferryhill North",347,442,119,655,37,141,201,42,419,12,33,60,13,67,1,19,58,7,48,0,5,14,0,25,0,545,776,175,1204,50,
"Ferryhill South",413,240,274,255,22,317,208,38,177,11,56,95,5,55,3,25,101,3,33,3,3,19,5,21,0,811,665,325,537,35,
"Kincorth, Leggart and Nigg North",254,144,247,26,15,253,153,122,28,8,55,103,58,23,1,17,98,44,20,0,4,17,22,13,0,580,511,495,110,20,
"Kincorth, Leggart and Nigg South",304,260,193,49,17,338,320,151,61,9,61,255,89,32,1,35,214,22,17,0,4,48,6,9,2,736,1096,461,171,29,
"Cove South",237,198,26,46,3,321,240,11,22,2,70,144,4,20,0,32,163,0,18,0,5,38,0,8,1,662,780,39,117,5,
"Cove North",301,220,154,58,16,317,239,132,49,7,76,143,61,26,0,21,129,42,18,0,7,28,20,7,0,721,758,412,158,23,
"Torry West",269,199,481,378,27,170,144,219,147,9,21,57,97,28,4,6,49,50,22,2,1,10,28,8,5,467,464,873,583,45,
