SuperWEB2(tm)

"Household"
"Household size - 5 groups, collapsed, Type of accomodation, Household composition - 10 groups, collapsed and Number of cars or vans - 3 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"


"Household size - 5 groups, collapsed","Type of accomodation","Household composition - 10 groups, collapsed","Number of cars or vans - 3 groups, collapsed",
"One person","Whole house or bungalow: Detached","One person household: Aged 66 and over","Number of cars or vans in household: No cars or vans",20478,
,,,"Number of cars or vans in household: One car or van",47182,
,,,"Number of cars or vans in household: Two or more cars or vans",4576,
,,"One person household: Aged under 66","Number of cars or vans in household: No cars or vans",8216,
,,,"Number of cars or vans in household: One car or van",34722,
,,,"Number of cars or vans in household: Two or more cars or vans",8003,
,,"One family household: All aged 66 and over","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Couple family: No children","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Couple family: With dependent children","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Couple family: All children non-dependent","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Lone parent: With dependent children","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Lone parent: All children non-dependent","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"Other household types: With dependent children","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"Other household types: Other (including all full-time students and all aged 66 and over)","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,"Whole house or bungalow: Semi-detached","One person household: Aged 66 and over","Number of cars or vans in household: No cars or vans",40868,
,,,"Number of cars or vans in household: One car or van",42239,
,,,"Number of cars or vans in household: Two or more cars or vans",1950,
,,"One person household: Aged under 66","Number of cars or vans in household: No cars or vans",25786,
,,,"Number of cars or vans in household: One car or van",55534,
,,,"Number of cars or vans in household: Two or more cars or vans",7045,
,,"One family household: All aged 66 and over","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Couple family: No children","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Couple family: With dependent children","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Couple family: All children non-dependent","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Lone parent: With dependent children","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Lone parent: All children non-dependent","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"Other household types: With dependent children","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"Other household types: Other (including all full-time students and all aged 66 and over)","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,"Whole house or bungalow: Terraced (including end-terrace)","One person household: Aged 66 and over","Number of cars or vans in household: No cars or vans",39922,
,,,"Number of cars or vans in household: One car or van",28980,
,,,"Number of cars or vans in household: Two or more cars or vans",1114,
,,"One person household: Aged under 66","Number of cars or vans in household: No cars or vans",28758,
,,,"Number of cars or vans in household: One car or van",50311,
,,,"Number of cars or vans in household: Two or more cars or vans",4642,
,,"One family household: All aged 66 and over","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Couple family: No children","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Couple family: With dependent children","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Couple family: All children non-dependent","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Lone parent: With dependent children","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"One family household: Lone parent: All children non-dependent","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"Other household types: With dependent children","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,,"Other household types: Other (including all full-time students and all aged 66 and over)","Number of cars or vans in household: No cars or vans",0,
,,,"Number of cars or vans in household: One car or van",0,
,,,"Number of cars or vans in household: Two or more cars or vans",0,
,"Flat, maisonette or apartment: Purpose-built block of flats or tenement","One person household: Aged 66 and over","Number of cars or vans in household: No cars or vans",82882,
