SuperWEB2(tm)

"Household"
"Data Zone (2022) by Household size - 5 groups, collapsed and Number of cars or vans - 3 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household size - 5 groups, collapsed","One person",,,"Two people",,,"Three people",,,"Four people",,,"Five or more people",,,"Total",,,
"Number of cars or vans - 3 groups, collapsed","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans",
"Data Zone (2022)",
"S01013482",53,139,16,15,74,89,6,18,23,0,8,30,1,4,8,79,246,166,
"S01013483",57,70,7,20,70,52,4,17,30,1,5,27,2,4,6,79,165,122,
"S01013484",26,109,8,8,39,41,6,11,14,2,6,15,1,1,8,43,166,83,
"S01013485",43,52,6,6,59,41,5,8,17,0,9,16,0,2,7,54,132,84,
"S01013486",60,73,6,7,31,40,1,10,24,0,10,24,0,3,2,70,125,99,
"S01013487",25,49,4,14,66,49,2,13,35,0,9,35,0,0,7,41,139,130,
"S01013488",11,41,6,2,52,70,0,1,28,1,4,27,0,0,12,14,100,141,
"S01013489",16,75,5,7,63,86,0,19,39,0,14,64,0,6,23,23,177,217,
"S01013490",17,39,7,4,42,103,0,10,55,0,18,54,0,3,22,22,112,242,
"S01013491",5,32,3,5,31,70,0,10,42,0,10,52,1,4,8,12,88,177,
"S01013492",7,35,4,2,21,64,0,8,20,1,2,16,1,5,7,10,72,113,
"S01013493",2,32,0,4,32,65,0,13,31,0,8,37,0,1,10,7,89,144,
"S01013494",15,28,2,11,67,53,5,26,35,3,10,23,1,2,8,39,136,118,
"S01013495",3,53,7,7,18,83,0,12,36,1,14,40,0,3,13,13,96,176,
"S01013496",5,44,8,2,27,72,1,12,27,2,13,35,2,7,16,12,103,153,
"S01013497",51,110,9,13,52,81,4,26,37,5,15,43,1,0,16,74,204,189,
"S01013498",71,88,12,7,39,65,0,17,23,2,12,30,0,8,11,80,164,144,
"S01013499",9,38,8,0,40,119,0,9,42,0,7,50,1,4,28,12,98,245,
"S01013500",8,34,3,1,33,85,1,13,45,5,10,44,0,3,11,13,91,188,
"S01013501",1,17,0,3,14,65,0,6,32,0,15,50,2,5,19,3,56,168,
"S01013502",45,95,7,7,57,68,1,13,42,2,19,43,1,7,14,58,189,170,
"S01013503",111,71,2,28,74,36,20,20,17,12,10,13,7,16,4,176,189,70,
"S01013504",53,59,4,20,53,26,5,30,28,5,19,18,2,8,10,85,169,86,
"S01013505",107,89,7,26,74,35,17,28,21,13,21,14,7,19,14,169,230,88,
"S01013506",148,139,9,40,67,31,9,23,20,7,1,10,3,6,4,204,238,73,
"S01013507",95,63,3,26,45,17,9,25,16,7,14,6,6,12,7,144,159,50,
"S01013508",92,86,9,31,58,19,16,24,16,12,18,9,7,10,9,157,197,62,
"S01013509",49,72,10,9,60,37,4,9,23,3,7,17,3,4,4,67,152,91,
"S01013510",19,69,10,8,51,72,2,16,29,2,15,27,0,1,4,31,151,142,
"S01013511",29,106,15,14,74,60,3,14,27,2,20,34,2,4,11,49,218,145,
"S01013512",141,179,14,24,92,55,7,15,18,5,15,15,2,5,2,182,303,106,
"S01013513",142,143,8,27,69,34,2,10,7,1,5,5,0,1,3,168,228,58,
"S01013514",26,72,7,9,61,74,1,14,29,0,17,28,1,4,4,37,170,142,
"S01013515",8,45,2,7,50,59,0,9,17,0,10,26,2,1,5,16,117,109,
"S01013516",26,90,5,8,59,66,3,11,31,0,6,34,0,2,3,36,169,138,
"S01013517",39,121,8,13,73,75,2,24,27,0,8,29,4,4,1,56,230,140,
"S01013518",84,104,8,6,69,53,0,15,25,0,15,36,1,5,5,94,210,125,
"S01013519",56,137,9,16,90,76,2,27,30,1,15,50,0,2,6,74,269,171,
"S01013520",26,88,2,6,59,77,0,20,33,0,9,30,0,2,7,32,181,150,
"S01013521",38,164,12,10,89,89,1,26,30,1,15,23,0,4,5,53,298,165,
"S01013522",116,180,19,13,80,67,0,13,29,2,12,29,2,2,5,134,284,146,
"S01013523",17,53,3,4,33,69,0,13,30,0,14,16,0,4,3,21,119,121,
"S01013524",111,96,7,13,68,45,3,26,24,2,12,11,1,5,4,132,206,90,
"S01013525",38,105,2,11,68,50,5,22,34,0,17,31,2,2,13,56,214,130,
"S01013526",12,43,5,1,24,44,1,14,41,1,12,80,0,4,19,15,103,186,
"S01013527",15,68,3,7,53,61,2,18,45,0,7,23,0,3,4,25,149,136,
"S01013528",37,90,6,2,51,89,1,13,43,1,12,34,0,5,11,41,172,183,
"S01013529",24,83,3,8,52,115,1,14,37,1,9,36,0,2,7,28,160,198,
"S01013530",96,77,4,14,28,18,3,7,12,0,8,8,0,2,1,113,122,46,
"S01013531",47,117,7,18,70,85,6,27,32,2,14,23,0,4,6,72,233,153,
"S01013532",76,82,6,13,62,69,0,16,20,3,9,24,0,8,8,94,177,127,
"S01013533",63,77,7,19,73,45,7,20,17,2,18,20,0,4,11,91,190,99,
"S01013534",61,59,1,16,24,15,2,13,9,1,12,9,2,2,4,88,109,41,
"S01013535",102,82,2,20,62,26,9,31,14,3,14,14,0,0,7,132,198,63,
"S01013536",101,90,4,21,63,32,8,20,15,4,16,16,2,5,3,134,190,69,
"S01013537",116,84,9,19,56,21,0,13,16,0,7,8,0,1,0,132,161,56,
"S01013538",33,67,5,12,43,38,1,15,17,0,9,18,0,5,3,48,133,78,
"S01013539",83,97,6,8,71,66,1,23,24,3,29,31,2,8,5,93,228,134,
"S01013540",25,68,3,5,61,56,1,17,28,0,25,29,0,12,6,32,183,115,
"S01013541",64,89,6,13,48,71,3,24,28,1,19,38,0,11,12,78,188,155,
"S01013542",68,101,5,20,71,32,9,12,30,1,23,23,0,2,11,102,210,104,
"S01013543",297,129,5,63,55,17,26,18,5,5,9,4,8,6,2,397,218,34,
"S01013544",293,128,6,61,52,16,13,5,5,5,8,2,4,2,1,373,195,29,
"S01013545",116,141,4,42,65,27,13,20,7,0,11,16,0,0,0,167,237,54,
"S01013546",238,89,4,56,42,17,6,10,2,4,5,3,4,1,0,308,147,30,
"S01013547",225,178,14,43,62,28,12,16,4,3,4,2,7,4,0,290,263,50,
"S01013548",86,79,1,18,41,22,1,13,3,2,7,8,0,5,2,108,145,36,
"S01013549",49,105,6,11,59,42,8,14,18,1,18,18,0,1,6,67,201,90,
"S01013550",70,122,13,43,101,66,12,28,18,3,16,14,2,8,6,130,275,116,
"S01013551",25,73,6,3,58,81,0,17,35,0,18,37,0,5,18,29,170,178,
"S01013552",9,57,6,3,49,55,3,14,31,1,19,31,1,6,6,17,144,135,
"S01013553",27,103,17,13,46,86,1,16,37,1,12,39,0,9,20,43,186,202,
"S01013554",57,87,12,14,57,64,6,21,25,1,24,33,1,3,10,77,192,141,
"S01013555",59,79,8,11,36,33,2,10,27,2,20,23,2,2,4,76,151,95,
"S01013556",83,145,10,22,54,32,5,15,25,0,8,12,0,7,5,116,232,84,
"S01013557",196,196,5,53,78,28,12,17,19,9,12,4,1,3,2,270,307,59,
"S01013558",188,164,0,49,63,33,8,17,4,6,13,1,0,2,0,244,259,39,
"S01013559",107,144,5,18,47,20,6,18,12,5,8,9,1,3,2,137,220,50,
"S01013560",26,94,5,8,57,89,2,17,32,1,16,30,1,4,8,38,188,164,
"S01013561",147,127,4,75,79,25,11,10,7,8,10,3,5,4,5,245,230,44,
"S01013562",104,108,4,47,69,22,24,12,9,2,3,1,1,0,0,177,193,38,
"S01013563",110,124,6,41,61,20,0,12,7,0,4,4,2,0,0,156,204,38,
"S01013564",203,100,5,55,57,18,14,26,3,8,6,1,13,2,1,293,186,28,
"S01013565",269,115,4,54,39,6,17,12,3,4,6,0,0,0,1,344,170,15,
"S01013566",185,54,5,57,40,14,11,8,2,4,5,1,1,3,0,255,110,20,
"S01013567",191,59,4,70,33,6,14,8,5,5,0,4,0,3,3,284,106,22,
"S01013568",128,59,4,61,55,5,17,10,2,6,8,4,3,1,0,209,132,16,
"S01013569",127,94,5,49,67,11,9,12,6,1,5,1,2,3,7,191,180,28,
