SuperWEB2(tm)

"Household"
"Data Zone (2022) by Household size - 5 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household size - 5 groups, collapsed","One person","Two people","Three people","Four people","Five or more people","Total",
"Data Zone (2022)",
"S01013482",208,178,47,43,15,491,
"S01013483",132,139,51,28,12,366,
"S01013484",143,88,31,23,7,292,
"S01013485",101,103,30,25,11,270,
"S01013486",139,78,36,36,8,297,
"S01013487",81,126,47,46,7,310,
"S01013488",58,120,28,32,11,255,
"S01013489",96,156,58,78,31,417,
"S01013490",61,149,65,74,28,376,
"S01013491",41,106,48,62,16,279,
"S01013492",45,88,28,20,15,196,
"S01013493",35,101,45,47,12,240,
"S01013494",42,137,65,32,13,293,
"S01013495",65,108,49,53,16,288,
"S01013496",57,94,40,54,23,268,
"S01013497",170,146,67,62,18,466,
"S01013498",172,110,40,44,19,385,
"S01013499",57,155,51,57,35,357,
"S01013500",45,119,57,57,11,292,
"S01013501",20,81,38,61,28,231,
"S01013502",149,131,55,67,22,420,
"S01013503",184,138,59,35,21,435,
"S01013504",116,99,65,42,20,340,
"S01013505",207,131,65,45,39,487,
"S01013506",296,138,45,23,15,516,
"S01013507",161,89,50,27,25,348,
"S01013508",187,111,56,42,27,416,
"S01013509",131,105,36,27,11,310,
"S01013510",97,131,51,43,6,324,
"S01013511",150,148,43,60,14,412,
"S01013512",334,169,41,34,10,588,
"S01013513",293,126,19,12,4,454,
"S01013514",105,144,46,46,8,349,
"S01013515",56,116,26,35,11,242,
"S01013516",124,132,42,41,4,343,
"S01013517",167,161,53,39,11,429,
"S01013518",197,132,40,51,8,428,
"S01013519",198,180,63,66,10,517,
"S01013520",116,142,55,39,8,360,
"S01013521",214,188,57,42,13,516,
"S01013522",312,160,43,43,9,567,
"S01013523",78,108,43,30,7,264,
"S01013524",212,128,56,27,10,430,
"S01013525",145,129,61,49,16,403,
"S01013526",60,73,54,95,19,304,
"S01013527",87,126,61,30,10,310,
"S01013528",133,142,58,47,16,399,
"S01013529",106,173,52,46,6,386,
"S01013530",177,60,22,17,6,281,
"S01013531",171,174,63,39,11,458,
"S01013532",164,145,38,35,16,398,
"S01013533",147,136,48,39,14,380,
"S01013534",121,55,27,21,6,232,
"S01013535",185,112,52,32,9,391,
"S01013536",195,115,42,35,10,394,
"S01013537",206,96,29,15,3,349,
"S01013538",105,89,35,24,6,255,
"S01013539",186,145,48,65,14,458,
"S01013540",96,119,46,54,18,333,
"S01013541",156,132,55,61,23,423,
"S01013542",174,131,53,47,12,413,
"S01013543",431,137,47,19,17,649,
"S01013544",427,129,22,13,4,597,
"S01013545",257,137,40,27,0,461,
"S01013546",335,112,21,12,2,481,
"S01013547",417,133,35,9,13,603,
"S01013548",166,81,18,17,7,289,
"S01013549",160,113,40,38,7,361,
"S01013550",205,210,58,33,15,521,
"S01013551",103,142,53,55,24,377,
"S01013552",72,107,48,51,14,292,
"S01013553",150,145,54,53,29,431,
"S01013554",153,133,52,58,14,408,
"S01013555",146,78,43,45,8,322,
"S01013556",241,108,46,23,12,429,
"S01013557",397,160,48,25,6,636,
"S01013558",350,145,29,21,2,550,
"S01013559",255,88,36,16,6,405,
"S01013560",125,154,51,50,13,390,
"S01013561",278,178,24,21,17,519,
"S01013562",214,138,44,6,2,405,
"S01013563",240,122,21,13,2,398,
"S01013564",307,130,39,16,15,507,
"S01013565",388,102,31,12,1,532,
"S01013566",240,111,21,10,4,390,
"S01013567",254,109,27,9,6,405,
"S01013568",191,121,23,18,5,360,
"S01013569",226,126,27,7,13,399,
"S01013570",188,126,35,15,15,374,
"S01013571",167,133,22,27,5,354,
"S01013572",196,114,30,19,5,364,
"S01013573",249,76,16,11,1,353,
"S01013574",315,154,28,22,8,526,
"S01013575",201,127,32,28,10,400,
"S01013576",284,78,11,8,0,381,
"S01013577",115,149,50,49,13,379,
"S01013578",321,153,34,11,0,521,
"S01013579",310,160,43,39,8,561,
"S01013580",283,137,32,31,20,507,
"S01013581",167,150,47,36,8,408,
"S01013582",137,96,39,33,13,318,
"S01013583",126,129,55,33,10,353,
"S01013584",146,81,35,23,8,297,
"S01013585",151,150,46,29,8,385,
"S01013586",117,111,63,54,18,366,
"S01013587",77,148,67,50,11,352,
"S01013588",95,96,78,62,17,341,
"S01013589",88,126,62,44,1,325,
"S01013590",175,145,74,33,11,436,
"S01013591",97,87,36,18,2,240,
"S01013592",173,138,67,40,15,433,
"S01013593",125,136,57,38,11,358,
"S01013594",92,82,30,21,9,234,
"S01013595",80,84,45,39,13,261,
"S01013596",30,90,54,75,18,264,
"S01013597",122,127,38,30,4,325,
"S01013598",102,113,39,32,6,291,
"S01013599",81,101,27,16,0,225,
"S01013600",141,135,63,51,14,403,
"S01013601",126,154,45,31,6,369,
"S01013602",93,81,25,26,6,231,
"S01013603",123,111,41,21,7,304,
"S01013604",148,134,72,42,11,407,
"S01013605",116,129,52,40,19,356,
"S01013606",313,156,30,29,16,548,
"S01013607",108,104,30,22,4,268,
"S01013608",153,80,31,14,4,283,
