SuperWEB2(tm)

"Household"
"Intermediate Zone (2022) by Household composition - 10 groups, collapsed and Number of cars or vans"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household composition - 10 groups, collapsed","One person household: Aged 66 and over",,,,,"One person household: Aged under 66",,,,,"One family household: All aged 66 and over",,,,,"One family household: Couple family: No children",,,,,"One family household: Couple family: With dependent children",,,,,"One family household: Couple family: All children non-dependent",,,,,"One family household: Lone parent: With dependent children",,,,,"One family household: Lone parent: All children non-dependent",,,,,"Other household types: With dependent children",,,,,"Other household types: Other (including all full-time students and all aged 66 and over)",,,,,"Total",,,,,
"Number of cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans",
"Intermediate Zone (2022)",
"Culter",161,191,13,2,0,117,344,35,2,1,17,161,70,9,0,20,143,225,29,8,13,99,201,40,23,7,17,29,45,22,30,71,12,1,0,13,38,23,1,2,3,1,6,7,0,5,11,14,0,2,381,1076,626,140,58,
"Cults, Bieldside and Milltimber West",38,121,1,1,0,24,117,16,3,0,7,81,101,15,6,10,107,234,46,9,3,124,371,48,16,0,13,41,32,11,23,84,13,0,1,8,18,15,3,0,1,7,7,2,2,3,6,8,2,0,114,674,806,154,49,
"Cults, Bieldside and Milltimber East",104,134,12,3,1,28,161,17,2,5,8,50,80,14,3,12,63,151,25,10,17,101,208,35,10,1,14,25,20,7,9,29,4,1,0,0,9,6,5,0,0,3,10,3,3,4,4,3,0,1,179,567,516,107,38,
"Cults, Bieldside and Milltimber Central",55,121,7,0,1,9,64,8,4,0,8,62,126,8,2,1,56,134,37,14,8,86,268,43,11,2,4,33,25,16,3,26,12,1,0,0,10,4,4,0,0,6,4,2,3,0,2,2,3,3,87,437,594,126,51,
"Garthdee",282,142,3,0,0,324,365,24,4,3,19,69,13,0,0,55,173,98,3,0,73,171,111,23,3,13,38,26,12,4,60,95,13,0,0,39,58,18,4,0,11,20,13,4,1,55,47,41,6,1,934,1182,357,59,15,
"Braeside, Mannofield, Broomhill and Seafield East",139,134,7,2,0,241,434,42,5,0,11,102,50,1,1,39,196,163,15,4,28,108,148,13,4,2,19,29,11,5,12,30,1,1,0,6,18,10,2,0,2,0,3,0,0,17,11,12,4,1,494,1052,466,57,22,
"Braeside, Mannofield, Broomhill and Seafield South",129,192,7,3,0,54,240,24,3,2,20,139,80,3,0,13,143,202,16,4,9,112,189,22,4,0,16,32,26,4,5,31,3,1,0,3,19,15,2,1,3,2,0,4,0,4,6,7,4,1,242,895,558,81,15,
"Braeside, Mannofield, Broomhill and Seafield North",152,248,12,0,0,101,370,26,6,2,17,152,82,7,4,16,154,213,36,7,6,125,205,23,12,1,18,38,29,9,7,44,11,0,0,4,19,12,1,0,0,2,5,2,0,7,19,14,3,2,314,1151,617,105,36,
"Hazlehead",193,277,8,0,0,181,402,28,0,0,30,160,134,9,2,11,165,281,32,11,14,196,391,44,9,2,24,44,42,8,28,92,5,4,2,15,27,18,2,0,1,5,6,7,3,7,12,16,3,0,482,1361,938,148,36,
"Summerhill",194,144,4,0,0,209,246,12,0,3,21,84,31,1,1,29,131,104,13,2,16,118,98,14,0,1,23,36,20,4,32,68,8,3,0,20,26,22,1,0,4,14,5,4,0,7,13,10,4,1,539,861,330,62,11,
"Midstocket",167,153,5,0,1,219,350,25,0,2,15,118,70,5,0,39,181,162,17,3,13,193,195,28,12,2,13,42,20,2,10,57,4,0,0,10,14,10,3,0,4,4,10,0,0,13,15,19,3,2,490,1103,548,79,18,
"Rosemount",254,106,4,0,0,1043,743,28,1,2,23,50,13,3,0,159,252,108,12,1,66,114,62,10,1,5,17,15,1,3,39,58,4,0,0,31,19,3,1,0,4,9,4,1,0,81,40,30,5,1,1714,1406,280,35,8,
"West End North",41,119,6,2,1,90,233,29,3,1,5,65,63,12,1,33,146,161,22,9,14,125,162,28,17,0,17,34,15,9,8,39,7,2,0,8,13,10,1,0,0,6,7,3,0,15,12,18,3,4,219,775,499,88,42,
"West End South",109,148,8,0,0,608,763,30,1,5,11,62,42,5,0,104,265,189,18,5,41,182,172,18,5,4,25,36,15,12,23,56,10,0,0,4,17,14,2,1,3,4,5,2,2,48,24,34,5,0,961,1545,537,69,27,
"City Centre West",91,44,2,0,0,742,526,15,0,2,5,9,4,0,0,139,182,61,5,0,49,58,20,5,0,6,6,5,1,0,34,30,4,0,0,13,19,3,0,0,8,3,1,0,0,128,99,30,2,0,1215,986,142,13,2,
