SuperWEB2(tm)

"Household"
"Intermediate Zone (2022) by Household composition - 10 groups, collapsed and Household size - 5 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household composition - 10 groups, collapsed","One person household: Aged 66 and over",,,,,"One person household: Aged under 66",,,,,"One family household: All aged 66 and over",,,,,"One family household: Couple family: No children",,,,,"One family household: Couple family: With dependent children",,,,,"One family household: Couple family: All children non-dependent",,,,,"One family household: Lone parent: With dependent children",,,,,"One family household: Lone parent: All children non-dependent",,,,,"Other household types: With dependent children",,,,,"Other household types: Other (including all full-time students and all aged 66 and over)",,,,,"Total",,,,,
"Household size - 5 groups, collapsed","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people",
"Intermediate Zone (2022)",
"Culter",367,0,0,0,0,495,0,0,0,0,0,257,0,0,0,0,425,0,0,0,0,0,126,198,53,0,0,95,24,2,0,58,39,12,5,0,71,6,0,0,0,0,4,2,6,0,25,5,2,3,862,836,275,237,71,
"Cults, Bieldside and Milltimber West",163,0,0,0,0,160,0,0,0,0,0,210,0,0,0,0,410,0,0,0,0,0,191,274,97,0,0,79,16,2,0,68,37,13,4,0,35,4,1,0,0,1,0,5,12,0,13,3,3,0,323,737,314,312,113,
"Cults, Bieldside and Milltimber East",253,0,0,0,0,211,0,0,0,0,0,155,0,0,0,0,261,0,0,0,0,0,109,193,67,0,0,56,10,1,0,22,14,3,2,0,18,6,0,0,0,4,2,9,6,0,5,4,0,2,464,462,193,216,76,
"Cults, Bieldside and Milltimber Central",184,0,0,0,0,85,0,0,0,0,0,207,0,0,0,0,242,0,0,0,0,0,111,219,86,0,0,66,17,1,0,20,15,4,2,0,18,4,0,0,0,1,1,6,6,0,2,6,1,2,269,488,201,238,99,
"Garthdee",427,0,0,0,0,720,0,0,0,0,0,103,0,0,0,0,334,0,0,0,0,0,129,141,111,0,0,74,19,4,0,74,57,25,12,0,95,19,0,0,0,3,11,15,19,0,94,47,9,0,1149,703,337,211,147,
"Braeside, Mannofield, Broomhill and Seafield East",282,0,0,0,0,721,0,0,0,0,0,163,0,0,0,0,417,0,0,0,0,0,105,159,38,0,0,54,8,0,0,32,13,0,0,0,33,3,0,0,0,2,0,3,3,0,30,11,3,2,1005,679,189,173,44,
"Braeside, Mannofield, Broomhill and Seafield South",329,0,0,0,0,318,0,0,0,0,0,242,0,0,0,0,377,0,0,0,0,0,110,189,37,0,0,62,16,0,0,16,20,2,0,0,33,3,0,0,0,1,0,4,4,0,12,8,1,0,648,685,207,211,40,
"Braeside, Mannofield, Broomhill and Seafield North",412,0,0,0,0,503,0,0,0,0,0,266,0,0,0,0,423,0,0,0,0,0,139,192,36,0,0,79,13,2,0,31,27,3,1,0,31,4,2,0,0,0,0,4,4,0,27,10,5,1,915,780,261,220,47,
"Hazlehead",479,0,0,0,0,612,0,0,0,0,0,335,0,0,0,0,504,0,0,0,0,0,250,318,85,0,0,102,15,2,0,78,47,6,1,0,62,7,0,0,0,2,3,7,10,0,20,12,4,1,1091,1001,424,347,99,
"Summerhill",342,0,0,0,0,470,0,0,0,0,0,139,0,0,0,0,279,0,0,0,0,0,78,129,42,0,0,65,19,3,0,59,41,4,4,0,58,5,0,0,0,3,8,8,11,0,25,8,3,0,812,563,204,155,57,
"Midstocket",326,0,0,0,0,596,0,0,0,0,0,206,0,0,0,0,402,0,0,0,0,0,149,222,67,0,0,65,15,3,0,31,26,11,0,0,31,8,0,0,0,0,4,7,6,0,29,10,8,1,923,708,265,263,76,
"Rosemount",365,0,0,0,0,1824,0,0,0,0,0,92,0,0,0,0,532,0,0,0,0,0,101,111,41,0,0,32,8,0,0,56,37,7,5,0,45,6,0,0,0,2,6,9,6,0,116,37,3,5,2189,843,219,135,55,
"West End North",168,0,0,0,0,358,0,0,0,0,0,146,0,0,0,0,372,0,0,0,0,0,122,162,62,0,0,61,15,1,0,29,16,4,5,0,30,2,0,0,0,0,4,3,11,0,27,8,8,3,530,604,213,192,86,
"West End South",265,0,0,0,0,1402,0,0,0,0,0,127,0,0,0,0,581,0,0,0,0,0,167,204,49,0,0,74,13,4,0,52,30,7,1,0,27,9,2,0,0,0,5,2,8,0,84,23,6,2,1667,868,304,239,61,
"City Centre West",137,0,0,0,0,1290,0,0,0,0,0,18,0,0,0,0,388,0,0,0,0,0,66,37,27,0,0,20,1,0,0,39,16,12,2,0,37,1,0,0,0,2,4,5,5,0,194,57,7,1,1427,670,166,65,35,
"City Centre East",49,0,0,0,0,866,0,0,0,0,0,8,0,0,0,0,275,0,0,0,0,0,38,30,17,0,0,13,0,2,0,33,16,4,0,0,16,2,0,0,0,2,1,8,4,0,134,33,4,2,915,467,100,48,28,
"Ferryhill North",243,0,0,0,0,1356,0,0,0,0,0,53,0,0,0,0,536,0,0,0,0,0,109,112,34,0,0,23,5,2,0,41,22,4,1,0,32,2,0,0,0,2,1,0,2,0,142,16,7,3,1599,808,174,131,44,
"Ferryhill South",367,0,0,0,0,833,0,0,0,0,0,161,0,0,0,0,439,0,0,0,0,0,116,135,38,0,0,56,10,1,0,46,17,7,0,0,32,4,0,0,0,1,5,0,6,0,73,14,4,4,1203,749,214,165,51,
"Kincorth, Leggart and Nigg North",285,0,0,0,0,394,0,0,0,0,0,119,0,0,0,0,298,0,0,0,0,0,109,106,37,0,0,75,25,0,0,49,32,19,5,0,69,7,1,0,0,6,9,14,8,0,24,10,5,4,683,560,242,175,59,
"Kincorth, Leggart and Nigg South",289,0,0,0,0,540,0,0,0,0,0,155,0,0,0,0,529,0,0,0,0,0,245,231,49,0,0,98,28,1,0,83,67,11,1,0,84,12,1,0,0,2,6,11,14,0,23,13,4,5,826,876,439,286,68,
"Cove South",157,0,0,0,0,349,0,0,0,0,0,125,0,0,0,0,408,0,0,0,0,0,95,177,40,0,0,96,24,1,0,22,30,3,2,0,28,10,0,0,0,1,2,6,6,0,11,4,3,1,510,595,233,213,52,
"Cove North",239,0,0,0,0,508,0,0,0,0,0,154,0,0,0,0,418,0,0,0,0,0,154,165,48,0,0,96,18,0,0,91,31,15,2,0,66,10,1,0,0,0,6,11,13,0,18,7,3,0,744,750,305,210,63,
"Torry West",216,0,0,0,0,1142,0,0,0,0,0,73,0,0,0,0,398,0,0,0,0,0,84,86,33,0,0,60,13,1,0,97,40,12,10,0,72,8,1,0,0,1,6,10,8,0,51,9,5,2,1354,690,207,128,55,
"Torry East",252,0,0,0,0,719,0,0,0,0,0,81,0,0,0,0,257,0,0,0,0,0,79,101,83,0,0,67,12,0,0,86,77,40,16,0,93,15,0,0,0,4,14,9,8,0,37,11,0,4,971,558,256,164,108,
"Hanover South",203,0,0,0,0,936,0,0,0,0,0,36,0,0,0,0,297,0,0,0,0,0,62,34,27,0,0,12,3,0,0,52,10,8,3,0,33,6,0,0,0,3,9,2,2,0,136,48,25,5,1137,553,155,71,36,
"Hanover North",80,0,0,0,0,1052,0,0,0,0,0,19,0,0,0,0,391,0,0,0,0,0,63,45,16,0,0,14,0,0,0,29,6,6,0,0,19,2,0,0,0,0,6,3,3,0,279,64,5,0,1130,732,157,60,21,
"George Street",278,0,0,0,0,1659,0,0,0,0,0,42,0,0,0,0,467,0,0,0,0,0,140,86,35,0,0,18,3,0,0,56,31,4,2,0,55,7,2,0,0,6,7,2,7,0,303,78,21,13,1934,928,281,115,56,
"Ashgrove",173,0,0,0,0,886,0,0,0,0,0,58,0,0,0,0,364,0,0,0,0,0,87,93,32,0,0,27,1,1,0,59,20,7,1,0,29,4,0,0,0,0,6,4,6,0,151,29,10,3,1059,661,176,113,43,
"Froghall, Powis and Sunnybank",146,0,0,0,0,1100,0,0,0,0,0,57,0,0,0,0,389,0,0,0,0,0,99,83,86,0,0,31,5,2,0,72,37,13,5,0,36,7,0,0,0,2,12,9,12,0,201,168,54,22,1246,757,356,164,123,
"Seaton",305,0,0,0,0,1146,0,0,0,0,0,65,0,0,0,0,372,0,0,0,0,0,69,44,10,0,0,21,4,0,0,67,18,5,0,0,44,9,0,0,0,1,6,4,7,0,161,51,8,7,1451,711,174,62,24,
"Old Aberdeen",218,0,0,0,0,508,0,0,0,0,0,53,0,0,0,0,176,0,0,0,0,0,48,56,7,0,0,24,6,0,0,44,26,5,2,0,53,6,0,0,0,3,6,1,4,0,61,23,4,4,726,388,135,73,21,
"Tillydrone",226,0,0,0,0,937,0,0,0,0,0,105,0,0,0,0,341,0,0,0,0,0,155,155,67,0,0,74,8,2,0,161,98,32,4,0,115,12,2,0,0,9,20,22,9,0,69,34,11,5,1163,800,392,234,89,
"Woodside",210,0,0,0,0,797,0,0,0,0,0,53,0,0,0,0,238,0,0,0,0,0,65,101,60,0,0,38,11,2,0,77,54,18,7,0,54,19,2,0,0,2,10,8,9,0,60,19,8,3,1007,484,199,152,84,
"Hilton",504,0,0,0,0,1009,0,0,0,0,0,194,0,0,0,0,572,0,0,0,0,0,173,154,67,0,0,86,7,4,0,95,32,13,7,0,97,12,1,0,0,5,7,4,10,0,100,45,22,9,1510,1063,346,203,97,
"Stockethill",496,0,0,0,0,787,0,0,0,0,0,196,0,0,0,0,316,0,0,0,0,0,109,149,66,0,0,59,24,3,0,108,51,7,3,0,92,17,1,0,0,4,12,14,7,0,57,10,8,3,1283,774,257,197,81,
"Mastrick",319,0,0,0,0,502,0,0,0,0,0,126,0,0,0,0,314,0,0,0,0,0,133,141,39,0,0,101,16,2,0,125,64,13,4,0,114,19,1,0,0,0,5,5,5,0,27,8,9,1,821,705,330,184,52,
"Sheddocksley",459,0,0,0,0,517,0,0,0,0,0,212,1,0,0,0,354,0,0,0,0,0,139,143,49,0,0,109,25,2,0,105,54,13,5,0,100,8,1,0,0,2,6,6,6,0,16,13,9,0,976,790,336,200,61,
"Cummings Park",228,0,0,0,0,225,0,0,0,0,0,128,0,0,0,0,201,0,0,0,0,0,78,131,56,0,0,81,17,2,0,38,48,24,5,0,74,18,0,0,0,2,7,4,10,0,20,19,7,1,452,465,252,183,74,
