SuperWEB2(tm)

"Household"
"Intermediate Zone (2022) by Household composition - 10 groups, collapsed and Household composition - 4 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household composition - 10 groups, collapsed","One person household: Aged 66 and over",,,,"One person household: Aged under 66",,,,"One family household: All aged 66 and over",,,,"One family household: Couple family: No children",,,,"One family household: Couple family: With dependent children",,,,"One family household: Couple family: All children non-dependent",,,,"One family household: Lone parent: With dependent children",,,,"One family household: Lone parent: All children non-dependent",,,,"Other household types: With dependent children",,,,"Other household types: Other (including all full-time students and all aged 66 and over)",,,,"Total",,,,
"Household composition - 4 groups, collapsed","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types",
"Intermediate Zone (2022)",
"Culter",367,0,0,0,495,0,0,0,0,257,0,0,0,425,0,0,0,376,0,0,0,121,0,0,0,0,114,0,0,0,77,0,0,0,0,15,0,0,0,34,862,1179,187,49,
"Cults, Bieldside and Milltimber West",163,0,0,0,160,0,0,0,0,210,0,0,0,410,0,0,0,562,0,0,0,97,0,0,0,0,121,0,0,0,40,0,0,0,0,17,0,0,0,19,323,1279,161,36,
"Cults, Bieldside and Milltimber East",253,0,0,0,211,0,0,0,0,155,0,0,0,261,0,0,0,367,0,0,0,67,0,0,0,0,44,0,0,0,22,0,0,0,0,16,0,0,0,12,464,847,66,30,
"Cults, Bieldside and Milltimber Central",184,0,0,0,85,0,0,0,0,207,0,0,0,242,0,0,0,413,0,0,0,80,0,0,0,0,41,0,0,0,18,0,0,0,0,14,0,0,0,11,269,942,59,25,
"Garthdee",427,0,0,0,720,0,0,0,0,103,0,0,0,334,0,0,0,381,0,0,0,92,0,0,0,0,172,0,0,0,116,0,0,0,0,48,0,0,0,152,1149,910,288,200,
"Braeside, Mannofield, Broomhill and Seafield East",282,0,0,0,721,0,0,0,0,163,0,0,0,417,0,0,0,303,0,0,0,63,0,0,0,0,45,0,0,0,36,0,0,0,0,6,0,0,0,46,1005,948,81,54,
"Braeside, Mannofield, Broomhill and Seafield South",329,0,0,0,318,0,0,0,0,242,0,0,0,377,0,0,0,336,0,0,0,78,0,0,0,0,42,0,0,0,35,0,0,0,0,7,0,0,0,21,648,1037,78,28,
"Braeside, Mannofield, Broomhill and Seafield North",412,0,0,0,503,0,0,0,0,266,0,0,0,423,0,0,0,368,0,0,0,95,0,0,0,0,66,0,0,0,37,0,0,0,0,8,0,0,0,45,915,1156,99,53,
